CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
IHS100,02-0685,2015-06-19,2015-05-29,21
IHS100,02-0685,2015-12-03,2015-06-19,167
IHS100,02-0685,2015-12-24,2015-12-03,21
IHS100,02-0685,2016-03-24,2015-12-24,91
IHS100,02-0685,2016-04-06,2016-03-24,13
IHS100,02-0685,2016-04-22,2016-04-06,16
IHS100,02-0685,2016-06-24,2016-04-22,63
IHS100,02-0685,2017-03-28,2016-06-24,277
IHS100,02-0685,2017-09-22,2017-03-28,178
IHS100,02-0685,2017-09-28,2017-09-22,6
IHS100,02-0685,2017-10-16,2017-09-28,18
IHS100,02-0685,2017-10-18,2017-10-16,2
IHS100,02-0685,2017-10-27,2017-10-18,9
IHS100,02-0685,2017-11-28,2017-10-27,32
