CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
JEF132,20-4215,2016-04-13,2016-03-23,21
JEF132,20-4215,2016-05-11,2016-04-13,28
JEF132,20-4215,2016-05-13,2016-05-11,2
JEF132,20-4215,2016-05-18,2016-05-13,5
JEF132,20-4215,2016-05-25,2016-05-18,7
JEF132,20-4215,2016-06-15,2016-05-25,21
JEF132,20-4215,2016-06-16,2016-06-15,1
JEF132,20-4215,2016-07-28,2016-06-16,42
JEF132,20-4215,2016-09-07,2016-07-28,41
JEF132,20-4215,2016-11-21,2016-09-07,75
JEF132,20-4215,2016-12-06,2016-11-21,15
JEF132,20-4215,2016-12-08,2016-12-06,2
JEF132,20-4215,2016-12-19,2016-12-08,11
JEF132,20-4215,2016-12-21,2016-12-19,2
JEF132,20-4215,2016-12-29,2016-12-21,8
JEF132,20-4215,2017-01-03,2016-12-29,5
JEF132,20-4215,2017-01-05,2017-01-03,2
JEF132,20-4215,2017-01-18,2017-01-05,13
JEF132,20-4215,2017-01-30,2017-01-18,12
JEF132,20-4215,2017-01-31,2017-01-30,1
JEF132,20-4215,2017-02-24,2017-01-31,24
JEF132,20-4215,2017-03-09,2017-02-24,13
JEF132,20-4215,2017-03-16,2017-03-09,7
JEF132,20-4215,2017-03-29,2017-03-16,13
JEF132,20-4215,2017-04-06,2017-03-29,8
JEF132,20-4215,2017-04-24,2017-04-06,18
JEF132,20-4215,2017-04-25,2017-04-24,1
JEF132,20-4215,2017-05-02,2017-04-25,7
