CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
KAN106,02-0876,2016-04-15,2016-03-10,36
KAN106,02-0876,2016-04-26,2016-04-15,11
KAN106,02-0876,2016-05-06,2016-04-26,10
KAN106,02-0876,2016-05-19,2016-05-06,13
KAN106,02-0876,2016-06-08,2016-05-19,20
KAN106,02-0876,2016-06-10,2016-06-08,2
KAN106,02-0876,2017-03-15,2016-06-10,278
KAN106,02-0876,2017-05-11,2017-03-15,57
KAN106,02-0876,2017-07-17,2017-05-11,67
KAN106,02-0876,2017-07-24,2017-07-17,7
KAN106,02-0876,2017-07-31,2017-07-24,7
KAN106,02-0876,2017-08-09,2017-07-31,9
KAN106,02-0876,2017-10-09,2017-08-09,61
KAN106,02-0876,2017-11-01,2017-10-09,23
