CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
KAY110,02-3263,2015-07-11,2015-05-30,42
KAY110,02-3263,2015-08-04,2015-07-11,24
KAY110,02-3263,2015-09-09,2015-08-04,36
KAY110,02-3263,2015-10-17,2015-09-09,38
KAY110,02-3263,2015-11-07,2015-10-17,21
KAY110,02-3263,2015-12-05,2015-11-07,28
KAY110,02-3263,2016-01-08,2015-12-05,34
KAY110,02-3263,2016-02-27,2016-01-08,50
KAY110,02-3263,2016-03-14,2016-02-27,16
KAY110,02-3263,2016-05-03,2016-03-14,50
KAY110,02-3263,2017-03-09,2016-05-03,310
KAY110,02-3263,2017-04-10,2017-03-09,32
KAY110,02-3263,2017-06-15,2017-04-10,66
KAY110,02-3263,2017-07-18,2017-06-15,33
KAY110,02-3263,2017-09-01,2017-07-18,45
KAY110,02-3263,2017-10-19,2017-09-01,48
KAY110,02-3263,2017-11-15,2017-10-19,27
