CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
KOM100,02-2374,2016-02-05,2016-01-06,30
KOM100,02-2374,2016-02-25,2016-02-05,20
KOM100,02-2374,2016-03-21,2016-02-25,25
KOM100,02-2374,2016-04-07,2016-03-21,17
KOM100,02-2374,2016-04-12,2016-04-07,5
KOM100,02-2374,2016-04-25,2016-04-12,13
KOM100,02-2374,2016-05-26,2016-04-25,31
KOM100,02-2374,2016-07-19,2016-05-26,54
KOM100,02-2374,2016-10-13,2016-07-19,86
KOM100,02-2374,2016-11-14,2016-10-13,32
KOM100,02-2374,2016-11-22,2016-11-14,8
KOM100,02-2374,2016-12-30,2016-11-22,38
KOM100,02-2374,2017-01-18,2016-12-30,19
KOM100,02-2374,2017-02-07,2017-01-18,20
KOM100,02-2374,2017-02-09,2017-02-07,2
