CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
LAU100,20-4224,2015-06-04,2015-05-04,31
LAU100,20-4224,2015-06-19,2015-06-04,15
LAU100,20-4224,2015-06-26,2015-06-19,7
LAU100,20-4224,2015-07-08,2015-06-26,12
LAU100,20-4224,2015-07-10,2015-07-08,2
LAU100,20-4224,2015-07-14,2015-07-10,4
LAU100,20-4224,2015-09-01,2015-07-14,49
LAU100,20-4224,2015-09-10,2015-09-01,9
LAU100,20-4224,2015-09-24,2015-09-10,14
LAU100,20-4224,2015-10-07,2015-09-24,13
LAU100,20-4224,2015-11-06,2015-10-07,30
LAU100,20-4224,2015-11-13,2015-11-06,7
LAU100,20-4224,2015-12-04,2015-11-13,21
LAU100,20-4224,2015-12-09,2015-12-04,5
