CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
LIH101,02-8222,2015-05-08,2015-05-06,2
LIH101,02-8222,2015-06-02,2015-05-08,25
LIH101,02-8222,2015-06-12,2015-06-02,10
LIH101,02-8222,2015-06-15,2015-06-12,3
LIH101,02-8222,2015-06-17,2015-06-15,2
LIH101,02-8222,2015-06-23,2015-06-17,6
LIH101,02-8222,2015-06-29,2015-06-23,6
LIH101,02-8222,2015-07-13,2015-06-29,14
LIH101,02-8222,2015-07-21,2015-07-13,8
LIH101,02-8222,2015-08-04,2015-07-21,14
LIH101,02-8222,2015-08-18,2015-08-04,14
LIH101,02-8222,2015-09-01,2015-08-18,14
