CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
MAS116,02-8785,2015-07-06,2015-06-04,32
MAS116,02-8785,2015-08-03,2015-07-06,28
MAS116,02-8785,2015-09-03,2015-08-03,31
MAS116,02-8785,2015-09-09,2015-09-03,6
MAS116,02-8785,2015-09-22,2015-09-09,13
MAS116,02-8785,2015-11-09,2015-09-22,48
MAS116,02-8785,2015-11-12,2015-11-09,3
MAS116,02-8785,2015-12-07,2015-11-12,25
MAS116,02-8785,2016-01-05,2015-12-07,29
MAS116,02-8785,2016-01-15,2016-01-05,10
MAS116,02-8785,2016-02-02,2016-01-15,18
MAS116,02-8785,2017-02-20,2016-02-02,384
MAS116,02-8785,2017-03-13,2017-02-20,21
