CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
MBS102,02-2495,2016-07-06,2016-05-18,49
MBS102,02-2495,2016-08-04,2016-07-06,29
MBS102,02-2495,2016-09-15,2016-08-04,42
MBS102,02-2495,2016-09-27,2016-09-15,12
MBS102,02-2495,2016-10-13,2016-09-27,16
MBS102,02-2495,2016-11-04,2016-10-13,22
MBS102,02-2495,2016-11-09,2016-11-04,5
MBS102,02-2495,2016-11-29,2016-11-09,20
MBS102,02-2495,2016-12-07,2016-11-29,8
MBS102,02-2495,2017-01-23,2016-12-07,47
MBS102,02-2495,2017-02-13,2017-01-23,21
MBS102,02-2495,2017-02-22,2017-02-13,9
MBS102,02-2495,2017-03-01,2017-02-22,7
