CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
MCK119,06-4840,2016-10-01,2016-09-08,23
MCK119,06-4840,2016-10-10,2016-10-01,9
MCK119,06-4840,2016-11-01,2016-10-10,22
MCK119,06-4840,2016-12-01,2016-11-01,30
MCK119,06-4840,2017-02-07,2016-12-01,68
MCK119,06-4840,2017-02-28,2017-02-07,21
MCK119,06-4840,2017-03-15,2017-02-28,15
MCK119,06-4840,2017-03-25,2017-03-15,10
MCK119,06-4840,2017-04-15,2017-03-25,21
MCK119,06-4840,2017-04-24,2017-04-15,9
MCK119,06-4840,2017-04-29,2017-04-24,5
MCK119,06-4840,2017-05-02,2017-04-29,3
MCK119,06-4840,2017-06-08,2017-05-02,37
MCK119,06-4840,2017-06-12,2017-06-08,4
