CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
MCP137,01-5127,2017-04-17,2017-04-03,14
MCP137,01-5127,2017-06-20,2017-04-17,64
MCP137,01-5127,2017-07-05,2017-06-20,15
MCP137,01-5127,2017-07-10,2017-07-05,5
MCP137,01-5127,2017-07-19,2017-07-10,9
MCP137,01-5127,2017-07-25,2017-07-19,6
MCP137,01-5127,2017-08-01,2017-07-25,7
MCP137,01-5127,2017-08-11,2017-08-01,10
MCP137,01-5127,2017-09-13,2017-08-11,33
MCP137,01-5127,2017-09-18,2017-09-13,5
MCP137,01-5127,2017-10-04,2017-09-18,16
MCP137,01-5127,2017-11-16,2017-10-04,43
MCP137,01-5127,2017-11-20,2017-11-16,4
