CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
MED111,02-7373,2017-05-02,2017-05-01,1
MED111,02-7373,2017-05-05,2017-05-02,3
MED111,02-7373,2017-05-22,2017-05-05,17
MED111,02-7373,2017-06-05,2017-05-22,14
MED111,02-7373,2017-06-20,2017-06-05,15
MED111,02-7373,2017-06-26,2017-06-20,6
MED111,02-7373,2017-06-29,2017-06-26,3
MED111,02-7373,2017-07-17,2017-06-29,18
MED111,02-7373,2017-07-19,2017-07-17,2
MED111,02-7373,2017-07-26,2017-07-19,7
MED111,02-7373,2017-08-08,2017-07-26,13
MED111,02-7373,2017-08-21,2017-08-08,13
MED111,02-7373,2017-08-24,2017-08-21,3
MED111,02-7373,2017-09-11,2017-08-24,18
MED111,02-7373,2017-09-14,2017-09-11,3
MED111,02-7373,2017-09-20,2017-09-14,6
MED111,02-7373,2017-10-19,2017-09-20,29
MED111,02-7373,2017-10-26,2017-10-19,7
