CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
MER152,02-1562,2015-07-06,2015-06-24,12
MER152,02-1562,2015-07-20,2015-07-06,14
MER152,02-1562,2015-07-27,2015-07-20,7
MER152,02-1562,2015-07-29,2015-07-27,2
MER152,02-1562,2015-08-11,2015-07-29,13
MER152,02-1562,2015-08-15,2015-08-11,4
MER152,02-1562,2015-08-17,2015-08-15,2
MER152,02-1562,2015-08-19,2015-08-17,2
MER152,02-1562,2015-08-25,2015-08-19,6
MER152,02-1562,2015-08-31,2015-08-25,6
MER152,02-1562,2015-09-14,2015-08-31,14
MER152,02-1562,2015-09-25,2015-09-14,11
MER152,02-1562,2015-09-30,2015-09-25,5
MER152,02-1562,2015-10-19,2015-09-30,19
MER152,02-1562,2015-10-24,2015-10-19,5
MER152,02-1562,2015-11-03,2015-10-24,10
MER152,02-1562,2015-11-16,2015-11-03,13
MER152,02-1562,2015-11-20,2015-11-16,4
MER152,02-1562,2015-12-22,2015-11-20,32
MER152,02-1562,2016-01-04,2015-12-22,13
MER152,02-1562,2016-01-06,2016-01-04,2
MER152,02-1562,2016-01-18,2016-01-06,12
MER152,02-1562,2016-01-19,2016-01-18,1
