CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
MIC111,02-2935,2015-10-14,2015-07-23,83
MIC111,02-2935,2015-12-10,2015-10-14,57
MIC111,02-2935,2016-02-24,2015-12-10,76
MIC111,02-2935,2016-03-10,2016-02-24,15
MIC111,02-2935,2016-04-25,2016-03-10,46
MIC111,02-2935,2016-04-26,2016-04-25,1
MIC111,02-2935,2016-07-07,2016-04-26,72
MIC111,02-2935,2016-07-14,2016-07-07,7
MIC111,02-2935,2016-07-26,2016-07-14,12
MIC111,02-2935,2016-08-11,2016-07-26,16
MIC111,02-2935,2016-09-23,2016-08-11,43
MIC111,02-2935,2016-11-09,2016-09-23,47
MIC111,02-2935,2016-11-29,2016-11-09,20
MIC111,02-2935,2017-01-25,2016-11-29,57
MIC111,02-2935,2017-03-14,2017-01-25,48
MIC111,02-2935,2017-03-23,2017-03-14,9
MIC111,02-2935,2017-09-01,2017-03-23,162
MIC111,02-2935,2017-09-07,2017-09-01,6
MIC111,02-2935,2017-09-29,2017-09-07,22
