CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
NAT137,02-2644,2015-06-13,2015-05-15,29
NAT137,02-2644,2015-07-14,2015-06-13,31
NAT137,02-2644,2015-08-03,2015-07-14,20
NAT137,02-2644,2015-09-02,2015-08-03,30
NAT137,02-2644,2015-10-10,2015-09-02,38
NAT137,02-2644,2015-11-02,2015-10-10,23
NAT137,02-2644,2015-12-15,2015-11-02,43
NAT137,02-2644,2016-01-09,2015-12-15,25
NAT137,02-2644,2016-02-11,2016-01-09,33
NAT137,02-2644,2016-03-24,2016-02-11,42
NAT137,02-2644,2016-05-04,2016-03-24,41
NAT137,02-2644,2016-06-02,2016-05-04,29
NAT137,02-2644,2016-07-05,2016-06-02,33
NAT137,02-2644,2016-08-08,2016-07-05,34
NAT137,02-2644,2016-09-17,2016-08-08,40
NAT137,02-2644,2016-10-12,2016-09-17,25
NAT137,02-2644,2017-08-29,2016-10-12,321
NAT137,02-2644,2017-11-08,2017-08-29,71
NAT137,02-2644,2017-12-11,2017-11-08,33
