CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
NIA103,02-2065,2016-03-02,2016-02-09,22
NIA103,02-2065,2016-03-04,2016-03-02,2
NIA103,02-2065,2016-06-01,2016-03-04,89
NIA103,02-2065,2016-07-14,2016-06-01,43
NIA103,02-2065,2016-08-03,2016-07-14,20
NIA103,02-2065,2016-09-02,2016-08-03,30
NIA103,02-2065,2016-09-23,2016-09-02,21
NIA103,02-2065,2016-11-10,2016-09-23,48
NIA103,02-2065,2016-11-28,2016-11-10,18
NIA103,02-2065,2017-01-04,2016-11-28,37
NIA103,02-2065,2017-01-27,2017-01-04,23
NIA103,02-2065,2017-02-06,2017-01-27,10
NIA103,02-2065,2017-03-06,2017-02-06,28
NIA103,02-2065,2017-03-22,2017-03-06,16
NIA103,02-2065,2017-04-21,2017-03-22,30
NIA103,02-2065,2017-04-24,2017-04-21,3
