CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
NUC112,02-3058,2015-08-31,2015-07-16,46
NUC112,02-3058,2015-10-21,2015-08-31,51
NUC112,02-3058,2015-10-22,2015-10-21,1
NUC112,02-3058,2016-02-16,2015-10-22,117
NUC112,02-3058,2016-03-10,2016-02-16,23
NUC112,02-3058,2016-03-21,2016-03-10,11
NUC112,02-3058,2016-03-25,2016-03-21,4
NUC112,02-3058,2016-06-24,2016-03-25,91
NUC112,02-3058,2017-03-13,2016-06-24,262
NUC112,02-3058,2017-04-12,2017-03-13,30
NUC112,02-3058,2017-06-08,2017-04-12,57
NUC112,02-3058,2017-08-11,2017-06-08,64
NUC112,02-3058,2017-08-15,2017-08-11,4
NUC112,02-3058,2017-10-25,2017-08-15,71
