CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
OUP100,02-8979,2017-03-13,2017-03-06,7
OUP100,02-8979,2017-03-15,2017-03-13,2
OUP100,02-8979,2017-03-17,2017-03-15,2
OUP100,02-8979,2017-03-22,2017-03-17,5
OUP100,02-8979,2017-03-27,2017-03-22,5
OUP100,02-8979,2017-03-28,2017-03-27,1
OUP100,02-8979,2017-03-29,2017-03-28,1
OUP100,02-8979,2017-04-04,2017-03-29,6
OUP100,02-8979,2017-04-05,2017-04-04,1
OUP100,02-8979,2017-04-06,2017-04-05,1
OUP100,02-8979,2017-07-31,2017-04-06,116
OUP100,02-8979,2017-08-04,2017-07-31,4
