CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
OWL110,SPC1248,2015-09-29,2015-09-24,5
OWL110,SPC1248,2015-11-02,2015-09-29,34
OWL110,SPC1248,2015-12-03,2015-11-02,31
OWL110,SPC1248,2016-01-11,2015-12-03,39
OWL110,SPC1248,2016-01-28,2016-01-11,17
OWL110,SPC1248,2016-03-02,2016-01-28,34
OWL110,SPC1248,2016-03-17,2016-03-02,15
OWL110,SPC1248,2016-05-19,2016-03-17,63
OWL110,SPC1248,2016-06-03,2016-05-19,15
OWL110,SPC1248,2016-06-15,2016-06-03,12
OWL110,SPC1248,2016-06-24,2016-06-15,9
OWL110,SPC1248,2016-07-06,2016-06-24,12
