CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
PEN140,01-6404,2015-06-30,2015-06-22,8
PEN140,01-6404,2015-07-07,2015-06-30,7
PEN140,01-6404,2015-09-01,2015-07-07,56
PEN140,01-6404,2015-09-08,2015-09-01,7
PEN140,01-6404,2015-10-07,2015-09-08,29
PEN140,01-6404,2015-10-20,2015-10-07,13
PEN140,01-6404,2015-10-26,2015-10-20,6
PEN140,01-6404,2015-11-02,2015-10-26,7
PEN140,01-6404,2015-12-07,2015-11-02,35
PEN140,01-6404,2016-01-06,2015-12-07,30
PEN140,01-6404,2016-01-11,2016-01-06,5
PEN140,01-6404,2016-01-18,2016-01-11,7
