CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
PHI291,02-3835,2016-05-12,2016-04-14,28
PHI291,02-3835,2016-06-13,2016-05-12,32
PHI291,02-3835,2016-07-12,2016-06-13,29
PHI291,02-3835,2016-08-23,2016-07-12,42
PHI291,02-3835,2016-09-14,2016-08-23,22
PHI291,02-3835,2016-11-14,2016-09-14,61
PHI291,02-3835,2016-12-05,2016-11-14,21
PHI291,02-3835,2016-12-07,2016-12-05,2
PHI291,02-3835,2016-12-09,2016-12-07,2
PHI291,02-3835,2017-01-11,2016-12-09,33
PHI291,02-3835,2017-02-10,2017-01-11,30
PHI291,02-3835,2017-03-21,2017-02-10,39
PHI291,02-3835,2017-04-18,2017-03-21,28
PHI291,02-3835,2017-06-06,2017-04-18,49
PHI291,02-3835,2017-06-09,2017-06-06,3
PHI291,02-3835,2017-07-26,2017-06-09,47
PHI291,02-3835,2017-08-08,2017-07-26,13
PHI291,02-3835,2017-09-26,2017-08-08,49
PHI291,02-3835,2017-10-05,2017-09-26,9
PHI291,02-3835,2017-11-07,2017-10-05,33
PHI291,02-3835,2017-12-06,2017-11-07,29
