CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
PIL139,20-1105,2016-10-10,2015-12-23,292
PIL139,20-1105,2016-10-11,2016-10-10,1
PIL139,20-1105,2017-01-09,2016-10-11,90
PIL139,20-1105,2017-01-13,2017-01-09,4
PIL139,20-1105,2017-01-16,2017-01-13,3
PIL139,20-1105,2017-05-31,2017-01-16,135
PIL139,20-1105,2017-06-07,2017-05-31,7
PIL139,20-1105,2017-06-12,2017-06-07,5
PIL139,20-1105,2017-06-14,2017-06-12,2
PIL139,20-1105,2017-06-15,2017-06-14,1
PIL139,20-1105,2017-06-21,2017-06-15,6
PIL139,20-1105,2017-06-22,2017-06-21,1
PIL139,20-1105,2017-06-26,2017-06-22,4
PIL139,20-1105,2017-06-27,2017-06-26,1
PIL139,20-1105,2017-06-28,2017-06-27,1
PIL139,20-1105,2017-06-29,2017-06-28,1
PIL139,20-1105,2017-07-05,2017-06-29,6
PIL139,20-1105,2017-07-06,2017-07-05,1
PIL139,20-1105,2017-07-10,2017-07-06,4
PIL139,20-1105,2017-07-12,2017-07-10,2
PIL139,20-1105,2017-07-13,2017-07-12,1
PIL139,20-1105,2017-07-17,2017-07-13,4
PIL139,20-1105,2017-07-18,2017-07-17,1
PIL139,20-1105,2017-07-19,2017-07-18,1
PIL139,20-1105,2017-07-20,2017-07-19,1
PIL139,20-1105,2017-07-21,2017-07-20,1
PIL139,20-1105,2017-07-24,2017-07-21,3
PIL139,20-1105,2017-07-25,2017-07-24,1
PIL139,20-1105,2017-07-26,2017-07-25,1
PIL139,20-1105,2017-07-28,2017-07-26,2
PIL139,20-1105,2017-07-31,2017-07-28,3
PIL139,20-1105,2017-08-09,2017-07-31,9
PIL139,20-1105,2017-08-11,2017-08-09,2
PIL139,20-1105,2017-08-14,2017-08-11,3
PIL139,20-1105,2017-08-15,2017-08-14,1
PIL139,20-1105,2017-08-16,2017-08-15,1
PIL139,20-1105,2017-08-25,2017-08-16,9
PIL139,20-1105,2017-08-28,2017-08-25,3
PIL139,20-1105,2017-08-29,2017-08-28,1
PIL139,20-1105,2017-08-30,2017-08-29,1
PIL139,20-1105,2017-08-31,2017-08-30,1
PIL139,20-1105,2017-09-01,2017-08-31,1
PIL139,20-1105,2017-09-05,2017-09-01,4
PIL139,20-1105,2017-09-07,2017-09-05,2
PIL139,20-1105,2017-09-11,2017-09-07,4
PIL139,20-1105,2017-09-12,2017-09-11,1
PIL139,20-1105,2017-09-13,2017-09-12,1
PIL139,20-1105,2017-09-14,2017-09-13,1
PIL139,20-1105,2017-09-18,2017-09-14,4
PIL139,20-1105,2017-09-20,2017-09-18,2
PIL139,20-1105,2017-10-16,2017-09-20,26
PIL139,20-1105,2017-10-17,2017-10-16,1
PIL139,20-1105,2017-10-18,2017-10-17,1
PIL139,20-1105,2017-10-19,2017-10-18,1
PIL139,20-1105,2017-11-06,2017-10-19,18
PIL139,20-1105,2017-11-07,2017-11-06,1
PIL139,20-1105,2017-11-08,2017-11-07,1
PIL139,20-1105,2017-11-13,2017-11-08,5
PIL139,20-1105,2017-11-14,2017-11-13,1
PIL139,20-1105,2017-11-15,2017-11-14,1
PIL139,20-1105,2017-11-16,2017-11-15,1
