CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
PRE176,02-2649,2016-10-27,2016-10-04,23
PRE176,02-2649,2016-11-02,2016-10-27,6
PRE176,02-2649,2016-11-22,2016-11-02,20
PRE176,02-2649,2016-12-20,2016-11-22,28
PRE176,02-2649,2017-01-04,2016-12-20,15
PRE176,02-2649,2017-01-30,2017-01-04,26
PRE176,02-2649,2017-02-28,2017-01-30,29
PRE176,02-2649,2017-04-19,2017-02-28,50
PRE176,02-2649,2017-04-25,2017-04-19,6
PRE176,02-2649,2017-05-26,2017-04-25,31
PRE176,02-2649,2017-08-09,2017-05-26,75
PRE176,02-2649,2017-08-28,2017-08-09,19
PRE176,02-2649,2017-09-06,2017-08-28,9
PRE176,02-2649,2017-09-15,2017-09-06,9
PRE176,02-2649,2017-11-24,2017-09-15,70
