CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
PSA100,02-0308,2015-07-17,2015-06-09,38
PSA100,02-0308,2015-08-27,2015-07-17,41
PSA100,02-0308,2015-09-15,2015-08-27,19
PSA100,02-0308,2015-10-15,2015-09-15,30
PSA100,02-0308,2015-11-13,2015-10-15,29
PSA100,02-0308,2016-07-01,2015-11-13,231
PSA100,02-0308,2016-08-02,2016-07-01,32
PSA100,02-0308,2016-09-02,2016-08-02,31
PSA100,02-0308,2016-10-20,2016-09-02,48
PSA100,02-0308,2016-11-11,2016-10-20,22
PSA100,02-0308,2016-12-02,2016-11-11,21
PSA100,02-0308,2017-02-14,2016-12-02,74
PSA100,02-0308,2017-03-15,2017-02-14,29
PSA100,02-0308,2017-04-07,2017-03-15,23
PSA100,02-0308,2017-04-24,2017-04-07,17
PSA100,02-0308,2017-05-22,2017-04-24,28
PSA100,02-0308,2017-06-19,2017-05-22,28
PSA100,02-0308,2017-07-03,2017-06-19,14
PSA100,02-0308,2017-07-18,2017-07-03,15
