CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
QUA126,02-2859,2015-08-19,2015-07-01,49
QUA126,02-2859,2015-08-25,2015-08-19,6
QUA126,02-2859,2015-08-31,2015-08-25,6
QUA126,02-2859,2015-10-08,2015-08-31,38
QUA126,02-2859,2015-11-16,2015-10-08,39
QUA126,02-2859,2015-12-30,2015-11-16,44
QUA126,02-2859,2016-01-21,2015-12-30,22
QUA126,02-2859,2016-03-09,2016-01-21,48
QUA126,02-2859,2016-03-29,2016-03-09,20
QUA126,02-2859,2016-04-28,2016-03-29,30
QUA126,02-2859,2016-11-28,2016-04-28,214
QUA126,02-2859,2016-12-13,2016-11-28,15
QUA126,02-2859,2017-01-03,2016-12-13,21
QUA126,02-2859,2017-03-29,2017-01-03,85
