CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
REE112,06-2335,2016-07-11,2016-07-07,4
REE112,06-2335,2016-08-30,2016-07-11,50
REE112,06-2335,2016-09-20,2016-08-30,21
REE112,06-2335,2016-12-08,2016-09-20,79
REE112,06-2335,2017-04-27,2016-12-08,140
REE112,06-2335,2017-06-16,2017-04-27,50
REE112,06-2335,2017-06-28,2017-06-16,12
REE112,06-2335,2017-07-10,2017-06-28,12
REE112,06-2335,2017-07-19,2017-07-10,9
REE112,06-2335,2017-07-20,2017-07-19,1
REE112,06-2335,2017-08-14,2017-07-20,25
REE112,06-2335,2017-11-29,2017-08-14,107
