CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
RXP114,SPC9854,2015-05-18,2015-05-06,12
RXP114,SPC9854,2015-05-26,2015-05-18,8
RXP114,SPC9854,2015-05-27,2015-05-26,1
RXP114,SPC9854,2015-06-08,2015-05-27,12
RXP114,SPC9854,2015-06-25,2015-06-08,17
RXP114,SPC9854,2015-07-08,2015-06-25,13
RXP114,SPC9854,2015-07-13,2015-07-08,5
RXP114,SPC9854,2015-07-15,2015-07-13,2
RXP114,SPC9854,2015-07-21,2015-07-15,6
RXP114,SPC9854,2015-07-27,2015-07-21,6
RXP114,SPC9854,2015-08-24,2015-07-27,28
RXP114,SPC9854,2015-08-25,2015-08-24,1
RXP114,SPC9854,2015-08-28,2015-08-25,3
RXP114,SPC9854,2015-08-31,2015-08-28,3
RXP114,SPC9854,2015-09-24,2015-08-31,24
RXP114,SPC9854,2015-09-28,2015-09-24,4
RXP114,SPC9854,2015-09-29,2015-09-28,1
