CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SAE104,20-8484,2015-07-16,2015-06-02,44
SAE104,20-8484,2015-10-01,2015-07-16,77
SAE104,20-8484,2016-02-09,2015-10-01,131
SAE104,20-8484,2016-03-22,2016-02-09,42
SAE104,20-8484,2016-05-24,2016-03-22,63
SAE104,20-8484,2016-06-13,2016-05-24,20
SAE104,20-8484,2016-09-09,2016-06-13,88
SAE104,20-8484,2016-10-28,2016-09-09,49
SAE104,20-8484,2017-03-24,2016-10-28,147
SAE104,20-8484,2017-08-03,2017-03-24,132
SAE104,20-8484,2017-09-13,2017-08-03,41
SAE104,20-8484,2017-10-19,2017-09-13,36
SAE104,20-8484,2017-12-06,2017-10-19,48
