CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SAF104,02-5795,2016-07-20,2016-07-01,19
SAF104,02-5795,2016-08-04,2016-07-20,15
SAF104,02-5795,2016-11-01,2016-08-04,89
SAF104,02-5795,2016-12-01,2016-11-01,30
SAF104,02-5795,2016-12-28,2016-12-01,27
SAF104,02-5795,2017-01-10,2016-12-28,13
SAF104,02-5795,2017-02-16,2017-01-10,37
SAF104,02-5795,2017-03-08,2017-02-16,20
SAF104,02-5795,2017-03-16,2017-03-08,8
SAF104,02-5795,2017-04-14,2017-03-16,29
SAF104,02-5795,2017-05-19,2017-04-14,35
SAF104,02-5795,2017-05-24,2017-05-19,5
