CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SCO129,02-7373,2015-10-22,2015-07-28,86
SCO129,02-7373,2015-10-28,2015-10-22,6
SCO129,02-7373,2016-03-22,2015-10-28,146
SCO129,02-7373,2016-04-06,2016-03-22,15
SCO129,02-7373,2016-04-15,2016-04-06,9
SCO129,02-7373,2016-05-04,2016-04-15,19
SCO129,02-7373,2016-05-19,2016-05-04,15
SCO129,02-7373,2016-06-03,2016-05-19,15
SCO129,02-7373,2016-06-23,2016-06-03,20
SCO129,02-7373,2016-07-21,2016-06-23,28
SCO129,02-7373,2016-07-22,2016-07-21,1
SCO129,02-7373,2016-10-24,2016-07-22,94
SCO129,02-7373,2016-12-21,2016-10-24,58
SCO129,02-7373,2017-01-18,2016-12-21,28
SCO129,02-7373,2017-02-01,2017-01-18,14
SCO129,02-7373,2017-02-22,2017-02-01,21
SCO129,02-7373,2017-03-20,2017-02-22,26
