CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SCR112,02-3520,2015-06-29,2015-05-27,33
SCR112,02-3520,2015-08-25,2015-06-29,57
SCR112,02-3520,2015-09-25,2015-08-25,31
SCR112,02-3520,2015-10-30,2015-09-25,35
SCR112,02-3520,2016-01-11,2015-10-30,73
SCR112,02-3520,2016-01-18,2016-01-11,7
SCR112,02-3520,2016-02-19,2016-01-18,32
SCR112,02-3520,2016-03-08,2016-02-19,18
SCR112,02-3520,2016-08-05,2016-03-08,150
SCR112,02-3520,2016-08-19,2016-08-05,14
SCR112,02-3520,2016-09-16,2016-08-19,28
SCR112,02-3520,2016-12-02,2016-09-16,77
SCR112,02-3520,2017-01-17,2016-12-02,46
SCR112,02-3520,2017-02-10,2017-01-17,24
SCR112,02-3520,2017-04-03,2017-02-10,52
SCR112,02-3520,2017-04-10,2017-04-03,7
SCR112,02-3520,2017-06-16,2017-04-10,67
