CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SEV119,09-9732,2015-12-15,2015-07-17,151
SEV119,09-9732,2016-04-19,2015-12-15,126
SEV119,09-9732,2016-05-11,2016-04-19,22
SEV119,09-9732,2016-06-03,2016-05-11,23
SEV119,09-9732,2016-07-11,2016-06-03,38
SEV119,09-9732,2016-07-19,2016-07-11,8
SEV119,09-9732,2016-10-20,2016-07-19,93
SEV119,09-9732,2016-12-06,2016-10-20,47
SEV119,09-9732,2017-01-27,2016-12-06,52
SEV119,09-9732,2017-03-10,2017-01-27,42
SEV119,09-9732,2017-05-17,2017-03-10,68
SEV119,09-9732,2017-07-27,2017-05-17,71
