CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SSD100,02-2065,2016-07-20,2016-03-14,128
SSD100,02-2065,2016-07-21,2016-07-20,1
SSD100,02-2065,2016-08-05,2016-07-21,15
SSD100,02-2065,2016-10-10,2016-08-05,66
SSD100,02-2065,2016-11-10,2016-10-10,31
SSD100,02-2065,2016-12-13,2016-11-10,33
SSD100,02-2065,2016-12-27,2016-12-13,14
SSD100,02-2065,2016-12-29,2016-12-27,2
SSD100,02-2065,2017-03-15,2016-12-29,76
SSD100,02-2065,2017-03-27,2017-03-15,12
SSD100,02-2065,2017-04-10,2017-03-27,14
SSD100,02-2065,2017-11-06,2017-04-10,210
SSD100,02-2065,2017-11-10,2017-11-06,4
