CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
STE103,06-4840,2015-11-13,2015-11-10,3
STE103,06-4840,2015-12-08,2015-11-13,25
STE103,06-4840,2015-12-15,2015-12-08,7
STE103,06-4840,2015-12-28,2015-12-15,13
STE103,06-4840,2015-12-30,2015-12-28,2
STE103,06-4840,2016-01-06,2015-12-30,7
STE103,06-4840,2016-01-12,2016-01-06,6
STE103,06-4840,2016-01-13,2016-01-12,1
STE103,06-4840,2016-02-04,2016-01-13,22
STE103,06-4840,2016-02-09,2016-02-04,5
STE103,06-4840,2016-03-01,2016-02-09,21
STE103,06-4840,2016-03-09,2016-03-01,8
STE103,06-4840,2016-03-11,2016-03-09,2
STE103,06-4840,2016-03-19,2016-03-11,8
STE103,06-4840,2016-03-22,2016-03-19,3
STE103,06-4840,2016-03-25,2016-03-22,3
STE103,06-4840,2016-04-22,2016-03-25,28
STE103,06-4840,2016-04-26,2016-04-22,4
STE103,06-4840,2016-04-28,2016-04-26,2
STE103,06-4840,2016-05-18,2016-04-28,20
STE103,06-4840,2016-05-20,2016-05-18,2
STE103,06-4840,2016-05-25,2016-05-20,5
STE103,06-4840,2016-05-31,2016-05-25,6
STE103,06-4840,2016-06-17,2016-05-31,17
STE103,06-4840,2016-07-07,2016-06-17,20
STE103,06-4840,2016-07-13,2016-07-07,6
STE103,06-4840,2016-07-15,2016-07-13,2
STE103,06-4840,2016-07-21,2016-07-15,6
STE103,06-4840,2016-08-05,2016-07-21,15
STE103,06-4840,2016-08-09,2016-08-05,4
STE103,06-4840,2016-08-12,2016-08-09,3
STE103,06-4840,2016-08-16,2016-08-12,4
STE103,06-4840,2016-08-17,2016-08-16,1
STE103,06-4840,2016-08-26,2016-08-17,9
STE103,06-4840,2016-09-01,2016-08-26,6
STE103,06-4840,2016-09-06,2016-09-01,5
STE103,06-4840,2016-09-10,2016-09-06,4
STE103,06-4840,2016-09-13,2016-09-10,3
STE103,06-4840,2016-09-14,2016-09-13,1
STE103,06-4840,2016-09-22,2016-09-14,8
STE103,06-4840,2016-09-27,2016-09-22,5
STE103,06-4840,2016-10-01,2016-09-27,4
STE103,06-4840,2016-10-04,2016-10-01,3
STE103,06-4840,2016-10-07,2016-10-04,3
STE103,06-4840,2016-10-08,2016-10-07,1
STE103,06-4840,2016-10-13,2016-10-08,5
STE103,06-4840,2016-10-14,2016-10-13,1
STE103,06-4840,2016-10-17,2016-10-14,3
STE103,06-4840,2016-10-18,2016-10-17,1
STE103,06-4840,2016-10-25,2016-10-18,7
