CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SUN187,02-7382,2016-02-16,2016-01-25,22
SUN187,02-7382,2016-02-25,2016-02-16,9
SUN187,02-7382,2016-03-08,2016-02-25,12
SUN187,02-7382,2017-07-26,2016-03-08,505
SUN187,02-7382,2017-08-01,2017-07-26,6
SUN187,02-7382,2017-08-09,2017-08-01,8
SUN187,02-7382,2017-08-18,2017-08-09,9
SUN187,02-7382,2017-09-05,2017-08-18,18
SUN187,02-7382,2017-09-21,2017-09-05,16
SUN187,02-7382,2017-09-29,2017-09-21,8
SUN187,02-7382,2017-10-25,2017-09-29,26
SUN187,02-7382,2017-11-03,2017-10-25,9
SUN187,02-7382,2017-11-15,2017-11-03,12
SUN187,02-7382,2017-12-06,2017-11-15,21
