CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
TAL114,02-5871,2015-09-02,2015-08-26,7
TAL114,02-5871,2016-01-27,2015-09-02,147
TAL114,02-5871,2016-04-06,2016-01-27,70
TAL114,02-5871,2016-05-11,2016-04-06,35
TAL114,02-5871,2016-06-29,2016-05-11,49
TAL114,02-5871,2016-09-21,2016-06-29,84
TAL114,02-5871,2016-10-19,2016-09-21,28
TAL114,02-5871,2017-01-11,2016-10-19,84
TAL114,02-5871,2017-02-22,2017-01-11,42
TAL114,02-5871,2017-03-29,2017-02-22,35
TAL114,02-5871,2017-05-03,2017-03-29,35
TAL114,02-5871,2017-06-14,2017-05-03,42
TAL114,02-5871,2017-08-09,2017-06-14,56
TAL114,02-5871,2017-12-06,2017-08-09,119
