CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
TAP104,02-1096,2016-05-11,2016-05-05,6
TAP104,02-1096,2016-06-21,2016-05-11,41
TAP104,02-1096,2016-07-19,2016-06-21,28
TAP104,02-1096,2016-07-20,2016-07-19,1
TAP104,02-1096,2016-09-21,2016-07-20,63
TAP104,02-1096,2016-09-26,2016-09-21,5
TAP104,02-1096,2016-10-25,2016-09-26,29
TAP104,02-1096,2017-03-01,2016-10-25,127
TAP104,02-1096,2017-06-19,2017-03-01,110
TAP104,02-1096,2017-07-05,2017-06-19,16
TAP104,02-1096,2017-08-01,2017-07-05,27
TAP104,02-1096,2017-08-24,2017-08-01,23
TAP104,02-1096,2017-09-05,2017-08-24,12
TAP104,02-1096,2017-12-05,2017-09-05,91
