CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
TEM106,02-1070,2016-02-18,2016-01-29,20
TEM106,02-1070,2016-03-23,2016-02-18,34
TEM106,02-1070,2016-04-15,2016-03-23,23
TEM106,02-1070,2016-04-23,2016-04-15,8
TEM106,02-1070,2016-08-12,2016-04-23,111
TEM106,02-1070,2016-08-31,2016-08-12,19
TEM106,02-1070,2016-09-29,2016-08-31,29
TEM106,02-1070,2016-10-07,2016-09-29,8
TEM106,02-1070,2016-10-11,2016-10-07,4
TEM106,02-1070,2016-10-21,2016-10-11,10
TEM106,02-1070,2016-11-10,2016-10-21,20
TEM106,02-1070,2016-12-08,2016-11-10,28
TEM106,02-1070,2016-12-09,2016-12-08,1
TEM106,02-1070,2017-01-05,2016-12-09,27
TEM106,02-1070,2017-01-10,2017-01-05,5
TEM106,02-1070,2017-01-24,2017-01-10,14
TEM106,02-1070,2017-02-03,2017-01-24,10
TEM106,02-1070,2017-02-07,2017-02-03,4
TEM106,02-1070,2017-02-22,2017-02-07,15
TEM106,02-1070,2017-03-31,2017-02-22,37
TEM106,02-1070,2017-04-07,2017-03-31,7
TEM106,02-1070,2017-05-05,2017-04-07,28
TEM106,02-1070,2017-06-30,2017-05-05,56
TEM106,02-1070,2017-07-28,2017-06-30,28
TEM106,02-1070,2017-08-10,2017-07-28,13
TEM106,02-1070,2017-08-25,2017-08-10,15
TEM106,02-1070,2017-09-01,2017-08-25,7
TEM106,02-1070,2017-09-08,2017-09-01,7
TEM106,02-1070,2017-10-20,2017-09-08,42
TEM106,02-1070,2017-11-03,2017-10-20,14
TEM106,02-1070,2017-12-01,2017-11-03,28
