CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
TMC111,C2-5639,2015-06-05,2015-05-06,30
TMC111,C2-5639,2015-06-29,2015-06-05,24
TMC111,C2-5639,2015-07-20,2015-06-29,21
TMC111,C2-5639,2015-07-22,2015-07-20,2
TMC111,C2-5639,2015-08-10,2015-07-22,19
TMC111,C2-5639,2015-09-08,2015-08-10,29
TMC111,C2-5639,2015-09-11,2015-09-08,3
TMC111,C2-5639,2015-10-12,2015-09-11,31
TMC111,C2-5639,2015-11-09,2015-10-12,28
TMC111,C2-5639,2015-12-21,2015-11-09,42
TMC111,C2-5639,2016-01-12,2015-12-21,22
TMC111,C2-5639,2016-02-17,2016-01-12,36
TMC111,C2-5639,2016-03-28,2016-02-17,40
TMC111,C2-5639,2016-04-27,2016-03-28,30
TMC111,C2-5639,2016-11-25,2016-04-27,212
TMC111,C2-5639,2016-11-29,2016-11-25,4
TMC111,C2-5639,2016-12-28,2016-11-29,29
