CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
TMS213,01-3756,2016-11-30,2016-11-01,29
TMS213,01-3756,2016-12-15,2016-11-30,15
TMS213,01-3756,2017-01-26,2016-12-15,42
TMS213,01-3756,2017-04-24,2017-01-26,88
TMS213,01-3756,2017-05-24,2017-04-24,30
TMS213,01-3756,2017-06-01,2017-05-24,8
TMS213,01-3756,2017-06-27,2017-06-01,26
TMS213,01-3756,2017-06-29,2017-06-27,2
TMS213,01-3756,2017-10-31,2017-06-29,124
TMS213,01-3756,2017-11-06,2017-10-31,6
TMS213,01-3756,2017-11-09,2017-11-06,3
TMS213,01-3756,2017-11-13,2017-11-09,4
TMS213,01-3756,2017-11-15,2017-11-13,2
