CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
TOO100,02-3263,2015-07-21,2015-05-02,80
TOO100,02-3263,2015-08-13,2015-07-21,23
TOO100,02-3263,2015-09-09,2015-08-13,27
TOO100,02-3263,2015-10-05,2015-09-09,26
TOO100,02-3263,2015-10-13,2015-10-05,8
TOO100,02-3263,2015-12-23,2015-10-13,71
TOO100,02-3263,2016-02-08,2015-12-23,47
TOO100,02-3263,2016-02-26,2016-02-08,18
TOO100,02-3263,2016-03-14,2016-02-26,17
TOO100,02-3263,2016-04-12,2016-03-14,29
TOO100,02-3263,2016-05-06,2016-04-12,24
TOO100,02-3263,2016-05-10,2016-05-06,4
TOO100,02-3263,2016-06-09,2016-05-10,30
TOO100,02-3263,2016-07-14,2016-06-09,35
TOO100,02-3263,2016-08-08,2016-07-14,25
TOO100,02-3263,2016-08-25,2016-08-08,17
