CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
TPB100,01-3252,2016-06-16,2016-05-17,30
TPB100,01-3252,2016-07-26,2016-06-16,40
TPB100,01-3252,2016-09-23,2016-07-26,59
TPB100,01-3252,2016-11-08,2016-09-23,46
TPB100,01-3252,2016-11-14,2016-11-08,6
TPB100,01-3252,2016-11-17,2016-11-14,3
TPB100,01-3252,2017-06-06,2016-11-17,201
TPB100,01-3252,2017-06-13,2017-06-06,7
TPB100,01-3252,2017-07-20,2017-06-13,37
TPB100,01-3252,2017-09-08,2017-07-20,50
TPB100,01-3252,2017-09-11,2017-09-08,3
TPB100,01-3252,2017-09-20,2017-09-11,9
TPB100,01-3252,2017-11-18,2017-09-20,59
TPB100,01-3252,2017-11-27,2017-11-18,9
