CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
TRI125,SPC1555,2016-06-01,2016-05-27,5
TRI125,SPC1555,2016-06-06,2016-06-01,5
TRI125,SPC1555,2016-06-08,2016-06-06,2
TRI125,SPC1555,2016-06-20,2016-06-08,12
TRI125,SPC1555,2016-07-01,2016-06-20,11
TRI125,SPC1555,2016-07-05,2016-07-01,4
TRI125,SPC1555,2016-07-08,2016-07-05,3
TRI125,SPC1555,2016-07-20,2016-07-08,12
TRI125,SPC1555,2016-07-25,2016-07-20,5
TRI125,SPC1555,2016-08-02,2016-07-25,8
TRI125,SPC1555,2016-08-04,2016-08-02,2
TRI125,SPC1555,2016-08-09,2016-08-04,5
TRI125,SPC1555,2016-08-18,2016-08-09,9
TRI125,SPC1555,2016-08-24,2016-08-18,6
TRI125,SPC1555,2016-09-06,2016-08-24,13
TRI125,SPC1555,2016-11-08,2016-09-06,63
