CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
TWE107,02-6833,2015-05-21,2015-05-04,17
TWE107,02-6833,2015-08-18,2015-05-21,89
TWE107,02-6833,2015-09-18,2015-08-18,31
TWE107,02-6833,2015-09-25,2015-09-18,7
TWE107,02-6833,2015-10-05,2015-09-25,10
TWE107,02-6833,2015-10-26,2015-10-05,21
TWE107,02-6833,2015-11-02,2015-10-26,7
TWE107,02-6833,2015-12-07,2015-11-02,35
TWE107,02-6833,2015-12-14,2015-12-07,7
TWE107,02-6833,2016-01-21,2015-12-14,38
TWE107,02-6833,2016-03-01,2016-01-21,40
TWE107,02-6833,2016-03-29,2016-03-01,28
TWE107,02-6833,2016-04-18,2016-03-29,20
TWE107,02-6833,2016-04-25,2016-04-18,7
TWE107,02-6833,2016-05-26,2016-04-25,31
TWE107,02-6833,2016-06-10,2016-05-26,15
TWE107,02-6833,2016-07-13,2016-06-10,33
TWE107,02-6833,2016-07-27,2016-07-13,14
TWE107,02-6833,2016-08-17,2016-07-27,21
TWE107,02-6833,2016-09-15,2016-08-17,29
TWE107,02-6833,2016-09-29,2016-09-15,14
TWE107,02-6833,2016-10-21,2016-09-29,22
TWE107,02-6833,2016-11-08,2016-10-21,18
TWE107,02-6833,2016-11-09,2016-11-08,1
TWE107,02-6833,2016-12-02,2016-11-09,23
TWE107,02-6833,2017-11-20,2016-12-02,353
TWE107,02-6833,2017-12-08,2017-11-20,18
