CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
ULT101,02-0308,2016-10-20,2016-10-17,3
ULT101,02-0308,2016-10-31,2016-10-20,11
ULT101,02-0308,2017-03-27,2016-10-31,147
ULT101,02-0308,2017-04-10,2017-03-27,14
ULT101,02-0308,2017-04-14,2017-04-10,4
ULT101,02-0308,2017-04-24,2017-04-14,10
ULT101,02-0308,2017-05-08,2017-04-24,14
ULT101,02-0308,2017-08-08,2017-05-08,92
ULT101,02-0308,2017-08-14,2017-08-08,6
ULT101,02-0308,2017-08-16,2017-08-14,2
ULT101,02-0308,2017-09-19,2017-08-16,34
ULT101,02-0308,2017-10-20,2017-09-19,31
