CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
USA131,02-6202,2017-02-17,2017-01-26,22
USA131,02-6202,2017-03-30,2017-02-17,41
USA131,02-6202,2017-05-03,2017-03-30,34
USA131,02-6202,2017-05-15,2017-05-03,12
USA131,02-6202,2017-06-12,2017-05-15,28
USA131,02-6202,2017-06-22,2017-06-12,10
USA131,02-6202,2017-07-19,2017-06-22,27
USA131,02-6202,2017-08-02,2017-07-19,14
USA131,02-6202,2017-08-15,2017-08-02,13
USA131,02-6202,2017-08-28,2017-08-15,13
USA131,02-6202,2017-09-14,2017-08-28,17
USA131,02-6202,2017-09-21,2017-09-14,7
USA131,02-6202,2017-10-11,2017-09-21,20
USA131,02-6202,2017-11-17,2017-10-11,37
