CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
VAN139,06-1467,2017-03-01,2016-09-30,152
VAN139,06-1467,2017-05-02,2017-03-01,62
VAN139,06-1467,2017-05-08,2017-05-02,6
VAN139,06-1467,2017-06-12,2017-05-08,35
VAN139,06-1467,2017-07-17,2017-06-12,35
VAN139,06-1467,2017-08-14,2017-07-17,28
VAN139,06-1467,2017-08-21,2017-08-14,7
VAN139,06-1467,2017-09-12,2017-08-21,22
VAN139,06-1467,2017-09-19,2017-09-12,7
VAN139,06-1467,2017-10-02,2017-09-19,13
VAN139,06-1467,2017-10-17,2017-10-02,15
VAN139,06-1467,2017-11-20,2017-10-17,34
