CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
VED100,02-6296,2016-11-08,2016-10-07,32
VED100,02-6296,2016-11-30,2016-11-08,22
VED100,02-6296,2016-12-09,2016-11-30,9
VED100,02-6296,2017-01-05,2016-12-09,27
VED100,02-6296,2017-01-31,2017-01-05,26
VED100,02-6296,2017-02-09,2017-01-31,9
VED100,02-6296,2017-02-15,2017-02-09,6
VED100,02-6296,2017-02-28,2017-02-15,13
VED100,02-6296,2017-04-07,2017-02-28,38
VED100,02-6296,2017-04-11,2017-04-07,4
VED100,02-6296,2017-04-17,2017-04-11,6
VED100,02-6296,2017-07-24,2017-04-17,98
VED100,02-6296,2017-08-22,2017-07-24,29
VED100,02-6296,2017-09-07,2017-08-22,16
