CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
VIC112,02-6399,2015-07-15,2015-06-03,42
VIC112,02-6399,2015-08-19,2015-07-15,35
VIC112,02-6399,2015-09-29,2015-08-19,41
VIC112,02-6399,2015-11-16,2015-09-29,48
VIC112,02-6399,2016-01-21,2015-11-16,66
VIC112,02-6399,2016-03-30,2016-01-21,69
VIC112,02-6399,2016-08-03,2016-03-30,126
VIC112,02-6399,2016-10-26,2016-08-03,84
VIC112,02-6399,2017-01-18,2016-10-26,84
VIC112,02-6399,2017-02-08,2017-01-18,21
VIC112,02-6399,2017-06-27,2017-02-08,139
VIC112,02-6399,2017-09-15,2017-06-27,80
VIC112,02-6399,2017-11-07,2017-09-15,53
