CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
WAI107,01-4160,2016-06-14,2016-05-18,27
WAI107,01-4160,2016-06-28,2016-06-14,14
WAI107,01-4160,2016-08-02,2016-06-28,35
WAI107,01-4160,2016-08-15,2016-08-02,13
WAI107,01-4160,2016-08-19,2016-08-15,4
WAI107,01-4160,2016-08-31,2016-08-19,12
WAI107,01-4160,2016-09-26,2016-08-31,26
WAI107,01-4160,2016-10-13,2016-09-26,17
WAI107,01-4160,2016-10-27,2016-10-13,14
WAI107,01-4160,2016-10-31,2016-10-27,4
WAI107,01-4160,2016-12-02,2016-10-31,32
WAI107,01-4160,2016-12-20,2016-12-02,18
WAI107,01-4160,2016-12-28,2016-12-20,8
WAI107,01-4160,2017-01-05,2016-12-28,8
WAI107,01-4160,2017-01-13,2017-01-05,8
WAI107,01-4160,2017-01-20,2017-01-13,7
WAI107,01-4160,2017-01-24,2017-01-20,4
WAI107,01-4160,2017-02-01,2017-01-24,8
WAI107,01-4160,2017-02-08,2017-02-01,7
WAI107,01-4160,2017-02-13,2017-02-08,5
