CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
WHI177,03-6187,2015-06-04,2015-05-27,8
WHI177,03-6187,2015-06-10,2015-06-04,6
WHI177,03-6187,2015-06-16,2015-06-10,6
WHI177,03-6187,2015-09-02,2015-06-16,78
WHI177,03-6187,2015-09-11,2015-09-02,9
WHI177,03-6187,2015-09-28,2015-09-11,17
WHI177,03-6187,2015-10-13,2015-09-28,15
WHI177,03-6187,2015-10-26,2015-10-13,13
WHI177,03-6187,2015-11-05,2015-10-26,10
WHI177,03-6187,2015-11-18,2015-11-05,13
WHI177,03-6187,2015-11-23,2015-11-18,5
WHI177,03-6187,2015-12-02,2015-11-23,9
WHI177,03-6187,2015-12-19,2015-12-02,17
WHI177,03-6187,2016-01-04,2015-12-19,16
WHI177,03-6187,2016-01-15,2016-01-04,11
WHI177,03-6187,2016-01-18,2016-01-15,3
WHI177,03-6187,2016-04-20,2016-01-18,93
WHI177,03-6187,2016-04-29,2016-04-20,9
