CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
WHO100,C2-1227,2015-08-03,2015-07-01,33
WHO100,C2-1227,2015-09-01,2015-08-03,29
WHO100,C2-1227,2015-12-01,2015-09-01,91
WHO100,C2-1227,2016-01-05,2015-12-01,35
WHO100,C2-1227,2016-02-01,2016-01-05,27
WHO100,C2-1227,2016-03-01,2016-02-01,29
WHO100,C2-1227,2016-04-01,2016-03-01,31
WHO100,C2-1227,2016-05-05,2016-04-01,34
WHO100,C2-1227,2016-06-01,2016-05-05,27
WHO100,C2-1227,2016-07-01,2016-06-01,30
WHO100,C2-1227,2016-08-01,2016-07-01,31
WHO100,C2-1227,2016-09-02,2016-08-01,32
WHO100,C2-1227,2016-10-03,2016-09-02,31
WHO100,C2-1227,2016-11-01,2016-10-03,29
WHO100,C2-1227,2016-12-01,2016-11-01,30
WHO100,C2-1227,2017-03-29,2016-12-01,118
WHO100,C2-1227,2017-04-03,2017-03-29,5
WHO100,C2-1227,2017-04-11,2017-04-03,8
WHO100,C2-1227,2017-05-11,2017-04-11,30
WHO100,C2-1227,2017-05-16,2017-05-11,5
