CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
YOU113,02-2926,2016-12-22,2016-12-19,3
YOU113,02-2926,2016-12-30,2016-12-22,8
YOU113,02-2926,2017-01-26,2016-12-30,27
YOU113,02-2926,2017-02-10,2017-01-26,15
YOU113,02-2926,2017-02-24,2017-02-10,14
YOU113,02-2926,2017-03-02,2017-02-24,6
YOU113,02-2926,2017-03-13,2017-03-02,11
YOU113,02-2926,2017-03-23,2017-03-13,10
YOU113,02-2926,2017-03-28,2017-03-23,5
YOU113,02-2926,2017-04-05,2017-03-28,8
YOU113,02-2926,2017-04-10,2017-04-05,5
YOU113,02-2926,2017-05-05,2017-04-10,25
YOU113,02-2926,2017-05-09,2017-05-05,4
YOU113,02-2926,2017-05-11,2017-05-09,2
YOU113,02-2926,2017-05-19,2017-05-11,8
YOU113,02-2926,2017-06-02,2017-05-19,14
YOU113,02-2926,2017-06-27,2017-06-02,25
YOU113,02-2926,2017-07-03,2017-06-27,6
YOU113,02-2926,2017-07-07,2017-07-03,4
YOU113,02-2926,2017-07-14,2017-07-07,7
YOU113,02-2926,2017-08-01,2017-07-14,18
YOU113,02-2926,2017-08-02,2017-08-01,1
YOU113,02-2926,2017-08-09,2017-08-02,7
YOU113,02-2926,2017-08-25,2017-08-09,16
YOU113,02-2926,2017-08-29,2017-08-25,4
YOU113,02-2926,2017-09-07,2017-08-29,9
YOU113,02-2926,2017-09-15,2017-09-07,8
YOU113,02-2926,2017-09-20,2017-09-15,5
YOU113,02-2926,2017-09-29,2017-09-20,9
YOU113,02-2926,2017-10-04,2017-09-29,5
YOU113,02-2926,2017-10-05,2017-10-04,1
YOU113,02-2926,2017-10-06,2017-10-05,1
YOU113,02-2926,2017-10-18,2017-10-06,12
YOU113,02-2926,2017-10-26,2017-10-18,8
YOU113,02-2926,2017-10-27,2017-10-26,1
YOU113,02-2926,2017-11-03,2017-10-27,7
YOU113,02-2926,2017-11-16,2017-11-03,13
YOU113,02-2926,2017-11-22,2017-11-16,6
YOU113,02-2926,2017-12-05,2017-11-22,13
YOU113,02-2926,2017-12-07,2017-12-05,2
