InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-07-29,ALP122,02-6889,2,2015-07-29,2015-07-09,2015-06-23,2015-06-15,20.0,36.0,44.0,15.736842105263158,14.189440636047278,2414
2015-08-25,ALP122,02-7386,1,2015-08-25,2015-07-29,2015-07-09,2015-06-23,27.0,47.0,63.0,15.736842105263158,14.189440636047278,2570
2015-08-27,ALP122,02-1196,15,2015-08-27,2015-08-25,2015-07-29,2015-07-09,2.0,29.0,49.0,15.736842105263158,14.189440636047278,734
2015-08-28,ALP122,02-5903,3,2015-08-28,2015-08-27,2015-08-25,2015-07-29,1.0,3.0,30.0,15.736842105263158,14.189440636047278,2164
2015-09-08,ALP122,02-6599,7,2015-09-08,2015-08-28,2015-08-27,2015-08-25,11.0,12.0,14.0,15.736842105263158,14.189440636047278,2342
2015-09-14,ALP122,02-6883,2,2015-09-14,2015-09-08,2015-08-28,2015-08-27,6.0,17.0,18.0,15.736842105263158,14.189440636047278,2411
2015-09-23,ALP122,02-4003,2,2015-09-23,2015-09-14,2015-09-08,2015-08-28,9.0,15.0,26.0,15.736842105263158,14.189440636047278,1619
2015-10-06,ALP122,02-6889,2,2015-10-06,2015-09-23,2015-09-14,2015-09-08,13.0,22.0,28.0,15.736842105263158,14.189440636047278,2414
2015-10-27,ALP122,02-4807,2,2015-10-27,2015-10-06,2015-09-23,2015-09-14,21.0,34.0,43.0,15.736842105263158,14.189440636047278,1833
2015-11-11,ALP122,02-6889,4,2015-11-11,2015-10-27,2015-10-06,2015-09-23,15.0,36.0,49.0,15.736842105263158,14.189440636047278,2414
2015-11-19,ALP122,02-5593,10,2015-11-19,2015-11-11,2015-10-27,2015-10-06,8.0,23.0,44.0,15.736842105263158,14.189440636047278,2088
2015-12-01,ALP122,02-4701,6,2015-12-01,2015-11-19,2015-11-11,2015-10-27,12.0,20.0,35.0,15.736842105263158,14.189440636047278,1785
2015-12-15,ALP122,02-5593,12,2015-12-15,2015-12-01,2015-11-19,2015-11-11,14.0,26.0,34.0,15.736842105263158,14.189440636047278,2088
2016-01-26,ALP122,02-4807,2,2016-01-26,2015-12-15,2015-12-01,2015-11-19,42.0,56.0,68.0,15.736842105263158,14.189440636047278,1833
2016-01-29,ALP122,02-1196,15,2016-01-29,2016-01-26,2015-12-15,2015-12-01,3.0,45.0,59.0,15.736842105263158,14.189440636047278,734
2016-02-01,ALP122,02-4701,5,2016-02-01,2016-01-29,2016-01-26,2015-12-15,3.0,6.0,48.0,15.736842105263158,14.189440636047278,1785
2016-02-25,ALP122,C2-4521,7,2016-02-25,2016-02-01,2016-01-29,2016-01-26,24.0,27.0,30.0,15.736842105263158,14.189440636047278,4667
2016-03-02,ALP122,02-2646,4,2016-03-02,2016-02-25,2016-02-01,2016-01-29,6.0,30.0,33.0,15.736842105263158,14.189440636047278,1200
2016-03-31,ALP122,02-2987,2,2016-03-31,2016-03-02,2016-02-25,2016-02-01,29.0,35.0,59.0,15.736842105263158,14.189440636047278,1298
2016-04-18,ALP122,02-4807,2,2016-04-18,2016-03-31,2016-03-02,2016-02-25,18.0,47.0,53.0,15.736842105263158,14.189440636047278,1833
2016-04-19,ALP122,02-5816,4,2016-04-19,2016-04-18,2016-03-31,2016-03-02,1.0,19.0,48.0,15.736842105263158,14.189440636047278,2146
2016-04-25,ALP122,C2-5452,3,2016-04-25,2016-04-19,2016-04-18,2016-03-31,6.0,7.0,25.0,15.736842105263158,14.189440636047278,4679
2016-04-29,ALP122,02-5594,3,2016-04-29,2016-04-25,2016-04-19,2016-04-18,4.0,10.0,11.0,15.736842105263158,14.189440636047278,2089
2016-05-04,ALP122,02-8568,5,2016-05-04,2016-04-29,2016-04-25,2016-04-19,5.0,9.0,15.0,15.736842105263158,14.189440636047278,2890
2016-05-23,ALP122,02-5816,15,2016-05-23,2016-05-04,2016-04-29,2016-04-25,19.0,24.0,28.0,15.736842105263158,14.189440636047278,2146
2016-06-01,ALP122,01-3169,2,2016-06-01,2016-05-23,2016-05-04,2016-04-29,9.0,28.0,33.0,15.736842105263158,14.189440636047278,158
2016-06-14,ALP122,02-2987,15,2016-06-14,2016-06-01,2016-05-23,2016-05-04,13.0,22.0,41.0,15.736842105263158,14.189440636047278,1298
2016-06-27,ALP122,C2-5452,3,2016-06-27,2016-06-14,2016-06-01,2016-05-23,13.0,26.0,35.0,15.736842105263158,14.189440636047278,4679
2016-07-05,ALP122,02-6749,16,2016-07-05,2016-06-27,2016-06-14,2016-06-01,8.0,21.0,34.0,15.736842105263158,14.189440636047278,2374
2016-07-29,ALP122,C2-4521,40,2016-07-29,2016-07-05,2016-06-27,2016-06-14,24.0,32.0,45.0,15.736842105263158,14.189440636047278,4667
2016-08-11,ALP122,02-8196,3,2016-08-11,2016-07-29,2016-07-05,2016-06-27,13.0,37.0,45.0,15.736842105263158,14.189440636047278,2789
2016-08-17,ALP122,02-4807,1,2016-08-17,2016-08-11,2016-07-29,2016-07-05,6.0,19.0,43.0,15.736842105263158,14.189440636047278,1833
