InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-06-05,AND123,02-0535,4,2015-06-05,2015-05-20,2015-05-13,2015-05-06,16.0,23.0,30.0,26.571428571428573,57.91336350064354,517
2015-06-26,AND123,21-8404,1,2015-06-26,2015-06-05,2015-05-20,2015-05-13,21.0,37.0,44.0,26.571428571428573,57.91336350064354,4446
2015-07-17,AND123,02-3520,4,2015-07-17,2015-06-26,2015-06-05,2015-05-20,21.0,42.0,58.0,26.571428571428573,57.91336350064354,1470
2015-08-03,AND123,02-1196,1,2015-08-03,2015-07-17,2015-06-26,2015-06-05,17.0,38.0,59.0,26.571428571428573,57.91336350064354,734
2015-08-05,AND123,02-4004,8,2015-08-05,2015-08-03,2015-07-17,2015-06-26,2.0,19.0,40.0,26.571428571428573,57.91336350064354,1620
2016-04-29,AND123,02-0667,2,2016-04-29,2015-08-05,2015-08-03,2015-07-17,268.0,270.0,287.0,26.571428571428573,57.91336350064354,585
2016-04-30,AND123,02-2096,5,2016-04-30,2016-04-29,2015-08-05,2015-08-03,1.0,269.0,271.0,26.571428571428573,57.91336350064354,1015
2016-05-04,AND123,02-3134,2,2016-05-04,2016-04-30,2016-04-29,2015-08-05,4.0,5.0,273.0,26.571428571428573,57.91336350064354,1358
2016-05-05,AND123,02-3237,4,2016-05-05,2016-05-04,2016-04-30,2016-04-29,1.0,5.0,6.0,26.571428571428573,57.91336350064354,1387
2016-05-12,AND123,02-8360,1,2016-05-12,2016-05-05,2016-05-04,2016-04-30,7.0,8.0,12.0,26.571428571428573,57.91336350064354,2843
2016-05-20,AND123,02-2483,1,2016-05-20,2016-05-12,2016-05-05,2016-05-04,8.0,15.0,16.0,26.571428571428573,57.91336350064354,1151
2016-05-23,AND123,02-8483,1,2016-05-23,2016-05-20,2016-05-12,2016-05-05,3.0,11.0,18.0,26.571428571428573,57.91336350064354,2857
2016-05-27,AND123,02-7119,2,2016-05-27,2016-05-23,2016-05-20,2016-05-12,4.0,7.0,15.0,26.571428571428573,57.91336350064354,2475
2016-05-31,AND123,02-6749,1,2016-05-31,2016-05-27,2016-05-23,2016-05-20,4.0,8.0,11.0,26.571428571428573,57.91336350064354,2374
2016-06-02,AND123,02-2604,4,2016-06-02,2016-05-31,2016-05-27,2016-05-23,2.0,6.0,10.0,26.571428571428573,57.91336350064354,1179
2016-06-13,AND123,02-0173,2,2016-06-13,2016-06-02,2016-05-31,2016-05-27,11.0,13.0,17.0,26.571428571428573,57.91336350064354,392
2016-06-14,AND123,02-2096,3,2016-06-14,2016-06-13,2016-06-02,2016-05-31,1.0,12.0,14.0,26.571428571428573,57.91336350064354,1015
2016-06-16,AND123,02-6363,5,2016-06-16,2016-06-14,2016-06-13,2016-06-02,2.0,3.0,14.0,26.571428571428573,57.91336350064354,2276
2016-06-20,AND123,02-3240,6,2016-06-20,2016-06-16,2016-06-14,2016-06-13,4.0,6.0,7.0,26.571428571428573,57.91336350064354,1390
2016-08-03,AND123,02-8483,1,2016-08-03,2016-06-20,2016-06-16,2016-06-14,44.0,48.0,50.0,26.571428571428573,57.91336350064354,2857
2017-01-24,AND123,02-9245,6,2017-01-24,2016-08-03,2016-06-20,2016-06-16,174.0,218.0,222.0,26.571428571428573,57.91336350064354,3020
2017-01-25,AND123,02-0435,1,2017-01-25,2017-01-24,2016-08-03,2016-06-20,1.0,175.0,219.0,26.571428571428573,57.91336350064354,480
2017-02-15,AND123,02-2534,4,2017-02-15,2017-01-25,2017-01-24,2016-08-03,21.0,22.0,196.0,26.571428571428573,57.91336350064354,1165
2017-04-12,AND123,02-9208,4,2017-04-12,2017-02-15,2017-01-25,2017-01-24,56.0,77.0,78.0,26.571428571428573,57.91336350064354,3019
2017-04-21,AND123,02-8991,8,2017-04-21,2017-04-12,2017-02-15,2017-01-25,9.0,65.0,86.0,26.571428571428573,57.91336350064354,3014
2017-05-19,AND123,02-9208,6,2017-05-19,2017-04-21,2017-04-12,2017-02-15,28.0,37.0,93.0,26.571428571428573,57.91336350064354,3019
