InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-11-16,ARM105,02-6908,5,2015-11-16,2015-11-04,2015-10-27,2015-10-22,12.0,20.0,25.0,11.014084507042254,10.38885798446239,2415
2015-11-17,ARM105,02-7958,1,2015-11-17,2015-11-16,2015-11-04,2015-10-27,1.0,13.0,21.0,11.014084507042254,10.38885798446239,2731
2015-11-25,ARM105,02-7772,2,2015-11-25,2015-11-17,2015-11-16,2015-11-04,8.0,9.0,21.0,11.014084507042254,10.38885798446239,2684
2015-12-04,ARM105,02-3615,1,2015-12-04,2015-11-25,2015-11-17,2015-11-16,9.0,17.0,18.0,11.014084507042254,10.38885798446239,1513
2015-12-15,ARM105,02-7958,1,2015-12-15,2015-12-04,2015-11-25,2015-11-17,11.0,20.0,28.0,11.014084507042254,10.38885798446239,2731
2016-01-05,ARM105,02-6110,2,2016-01-05,2015-12-15,2015-12-04,2015-11-25,21.0,32.0,41.0,11.014084507042254,10.38885798446239,2207
2016-01-12,ARM105,02-6908,7,2016-01-12,2016-01-05,2015-12-15,2015-12-04,7.0,28.0,39.0,11.014084507042254,10.38885798446239,2415
2016-01-18,ARM105,02-7958,1,2016-01-18,2016-01-12,2016-01-05,2015-12-15,6.0,13.0,34.0,11.014084507042254,10.38885798446239,2731
2016-01-25,ARM105,02-3816,1,2016-01-25,2016-01-18,2016-01-12,2016-01-05,7.0,13.0,20.0,11.014084507042254,10.38885798446239,1578
2016-01-27,ARM105,02-6908,7,2016-01-27,2016-01-25,2016-01-18,2016-01-12,2.0,9.0,15.0,11.014084507042254,10.38885798446239,2415
2016-02-22,ARM105,02-1513,1,2016-02-22,2016-01-27,2016-01-25,2016-01-18,26.0,28.0,35.0,11.014084507042254,10.38885798446239,837
2016-03-01,ARM105,SPC1427,6,2016-03-01,2016-02-22,2016-01-27,2016-01-25,8.0,34.0,36.0,11.014084507042254,10.38885798446239,5298
2016-03-22,ARM105,02-5447,2,2016-03-22,2016-03-01,2016-02-22,2016-01-27,21.0,29.0,55.0,11.014084507042254,10.38885798446239,2048
2016-03-28,ARM105,02-5447,3,2016-03-28,2016-03-22,2016-03-01,2016-02-22,6.0,27.0,35.0,11.014084507042254,10.38885798446239,2048
2016-04-05,ARM105,02-5470,1,2016-04-05,2016-03-28,2016-03-22,2016-03-01,8.0,14.0,35.0,11.014084507042254,10.38885798446239,2059
2016-04-18,ARM105,02-2987,2,2016-04-18,2016-04-05,2016-03-28,2016-03-22,13.0,21.0,27.0,11.014084507042254,10.38885798446239,1298
2016-04-26,ARM105,02-3615,1,2016-04-26,2016-04-18,2016-04-05,2016-03-28,8.0,21.0,29.0,11.014084507042254,10.38885798446239,1513
2016-05-03,ARM105,SPC1416,6,2016-05-03,2016-04-26,2016-04-18,2016-04-05,7.0,15.0,28.0,11.014084507042254,10.38885798446239,5288
2016-05-10,ARM105,02-0847,3,2016-05-10,2016-05-03,2016-04-26,2016-04-18,7.0,14.0,22.0,11.014084507042254,10.38885798446239,641
2016-05-21,ARM105,02-0399,1,2016-05-21,2016-05-10,2016-05-03,2016-04-26,11.0,18.0,25.0,11.014084507042254,10.38885798446239,461
2016-05-24,ARM105,02-3107,3,2016-05-24,2016-05-21,2016-05-10,2016-05-03,3.0,14.0,21.0,11.014084507042254,10.38885798446239,1350
2016-05-27,ARM105,02-6908,3,2016-05-27,2016-05-24,2016-05-21,2016-05-10,3.0,6.0,17.0,11.014084507042254,10.38885798446239,2415
2016-06-15,ARM105,02-3615,1,2016-06-15,2016-05-27,2016-05-24,2016-05-21,19.0,22.0,25.0,11.014084507042254,10.38885798446239,1513
2016-06-20,ARM105,02-5447,3,2016-06-20,2016-06-15,2016-05-27,2016-05-24,5.0,24.0,27.0,11.014084507042254,10.38885798446239,2048
2016-06-22,ARM105,02-5173,3,2016-06-22,2016-06-20,2016-06-15,2016-05-27,2.0,7.0,26.0,11.014084507042254,10.38885798446239,1967
2016-06-23,ARM105,02-4156,2,2016-06-23,2016-06-22,2016-06-20,2016-06-15,1.0,3.0,8.0,11.014084507042254,10.38885798446239,1671
2016-07-12,ARM105,02-3572,6,2016-07-12,2016-06-23,2016-06-22,2016-06-20,19.0,20.0,22.0,11.014084507042254,10.38885798446239,1494
2016-07-15,ARM105,02-5447,2,2016-07-15,2016-07-12,2016-06-23,2016-06-22,3.0,22.0,23.0,11.014084507042254,10.38885798446239,2048
2016-07-19,ARM105,02-5447,3,2016-07-19,2016-07-15,2016-07-12,2016-06-23,4.0,7.0,26.0,11.014084507042254,10.38885798446239,2048
2016-07-25,ARM105,02-5447,3,2016-07-25,2016-07-19,2016-07-15,2016-07-12,6.0,10.0,13.0,11.014084507042254,10.38885798446239,2048
2016-07-27,ARM105,02-1513,3,2016-07-27,2016-07-25,2016-07-19,2016-07-15,2.0,8.0,12.0,11.014084507042254,10.38885798446239,837
2016-08-01,ARM105,02-7772,3,2016-08-01,2016-07-27,2016-07-25,2016-07-19,5.0,7.0,13.0,11.014084507042254,10.38885798446239,2684
2016-08-11,ARM105,06-1467,5,2016-08-11,2016-08-01,2016-07-27,2016-07-25,10.0,15.0,17.0,11.014084507042254,10.38885798446239,3598
2016-08-30,ARM105,02-7772,3,2016-08-30,2016-08-11,2016-08-01,2016-07-27,19.0,29.0,34.0,11.014084507042254,10.38885798446239,2684
2016-09-01,ARM105,SPC1492,2,2016-09-01,2016-08-30,2016-08-11,2016-08-01,2.0,21.0,31.0,11.014084507042254,10.38885798446239,5362
2016-09-26,ARM105,02-3614,5,2016-09-26,2016-09-01,2016-08-30,2016-08-11,25.0,27.0,46.0,11.014084507042254,10.38885798446239,1512
2016-10-07,ARM105,02-5447,3,2016-10-07,2016-09-26,2016-09-01,2016-08-30,11.0,36.0,38.0,11.014084507042254,10.38885798446239,2048
2016-10-12,ARM105,02-5612,4,2016-10-12,2016-10-07,2016-09-26,2016-09-01,5.0,16.0,41.0,11.014084507042254,10.38885798446239,2092
2016-10-20,ARM105,02-6889,2,2016-10-20,2016-10-12,2016-10-07,2016-09-26,8.0,13.0,24.0,11.014084507042254,10.38885798446239,2414
2016-11-01,ARM105,02-4156,4,2016-11-01,2016-10-20,2016-10-12,2016-10-07,12.0,20.0,25.0,11.014084507042254,10.38885798446239,1671
2016-11-10,ARM105,02-6889,2,2016-11-10,2016-11-01,2016-10-20,2016-10-12,9.0,21.0,29.0,11.014084507042254,10.38885798446239,2414
2016-11-14,ARM105,02-7772,2,2016-11-14,2016-11-10,2016-11-01,2016-10-20,4.0,13.0,25.0,11.014084507042254,10.38885798446239,2684
2017-01-16,ARM105,02-7765,6,2017-01-16,2016-11-14,2016-11-10,2016-11-01,63.0,67.0,76.0,11.014084507042254,10.38885798446239,2683
2017-01-24,ARM105,02-3476,2,2017-01-24,2017-01-16,2016-11-14,2016-11-10,8.0,71.0,75.0,11.014084507042254,10.38885798446239,1448
