InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2016-12-20,BIG167,02-6132,10,2016-12-20,2016-12-15,2016-12-06,2016-11-29,5.0,14.0,21.0,7.313725490196078,3.744276678230024,2212
2016-12-27,BIG167,02-7039,5,2016-12-27,2016-12-20,2016-12-15,2016-12-06,7.0,12.0,21.0,7.313725490196078,3.744276678230024,2445
2017-01-03,BIG167,02-0235,5,2017-01-03,2016-12-27,2016-12-20,2016-12-15,7.0,14.0,19.0,7.313725490196078,3.744276678230024,410
2017-01-10,BIG167,SPC1763,2,2017-01-10,2017-01-03,2016-12-27,2016-12-20,7.0,14.0,21.0,7.313725490196078,3.744276678230024,5625
2017-01-17,BIG167,02-0235,10,2017-01-17,2017-01-10,2017-01-03,2016-12-27,7.0,14.0,21.0,7.313725490196078,3.744276678230024,410
2017-02-02,BIG167,02-0235,20,2017-02-02,2017-01-17,2017-01-10,2017-01-03,16.0,23.0,30.0,7.313725490196078,3.744276678230024,410
2017-02-09,BIG167,02-3188,5,2017-02-09,2017-02-02,2017-01-17,2017-01-10,7.0,23.0,30.0,7.313725490196078,3.744276678230024,1375
2017-02-23,BIG167,02-6132,20,2017-02-23,2017-02-09,2017-02-02,2017-01-17,14.0,21.0,37.0,7.313725490196078,3.744276678230024,2212
2017-03-02,BIG167,02-1513,1,2017-03-02,2017-02-23,2017-02-09,2017-02-02,7.0,21.0,28.0,7.313725490196078,3.744276678230024,837
2017-03-10,BIG167,02-0235,5,2017-03-10,2017-03-02,2017-02-23,2017-02-09,8.0,15.0,29.0,7.313725490196078,3.744276678230024,410
2017-03-21,BIG167,02-3180,2,2017-03-21,2017-03-10,2017-03-02,2017-02-23,11.0,19.0,26.0,7.313725490196078,3.744276678230024,1371
2017-03-29,BIG167,SPC1761,1,2017-03-29,2017-03-21,2017-03-10,2017-03-02,8.0,19.0,27.0,7.313725490196078,3.744276678230024,5623
2017-04-04,BIG167,02-0613,1,2017-04-04,2017-03-29,2017-03-21,2017-03-10,6.0,14.0,25.0,7.313725490196078,3.744276678230024,560
2017-04-13,BIG167,02-1929,1,2017-04-13,2017-04-04,2017-03-29,2017-03-21,9.0,15.0,23.0,7.313725490196078,3.744276678230024,957
2017-04-15,BIG167,02-0608,1,2017-04-15,2017-04-13,2017-04-04,2017-03-29,2.0,11.0,17.0,7.313725490196078,3.744276678230024,559
2017-04-25,BIG167,02-0608,1,2017-04-25,2017-04-15,2017-04-13,2017-04-04,10.0,12.0,21.0,7.313725490196078,3.744276678230024,559
2017-05-05,BIG167,02-5210,5,2017-05-05,2017-04-25,2017-04-15,2017-04-13,10.0,20.0,22.0,7.313725490196078,3.744276678230024,1989
2017-05-15,BIG167,02-1237,2,2017-05-15,2017-05-05,2017-04-25,2017-04-15,10.0,20.0,30.0,7.313725490196078,3.744276678230024,743
2017-05-25,BIG167,SPC1871,2,2017-05-25,2017-05-15,2017-05-05,2017-04-25,10.0,20.0,30.0,7.313725490196078,3.744276678230024,5729
2017-06-01,BIG167,02-1691,2,2017-06-01,2017-05-25,2017-05-15,2017-05-05,7.0,17.0,27.0,7.313725490196078,3.744276678230024,877
2017-06-13,BIG167,02-3029,3,2017-06-13,2017-06-01,2017-05-25,2017-05-15,12.0,19.0,29.0,7.313725490196078,3.744276678230024,1326
2017-06-15,BIG167,02-0235,10,2017-06-15,2017-06-13,2017-06-01,2017-05-25,2.0,14.0,21.0,7.313725490196078,3.744276678230024,410
2017-07-05,BIG167,02-6049,1,2017-07-05,2017-06-15,2017-06-13,2017-06-01,20.0,22.0,34.0,7.313725490196078,3.744276678230024,2188
2017-07-13,BIG167,02-7752,1,2017-07-13,2017-07-05,2017-06-15,2017-06-13,8.0,28.0,30.0,7.313725490196078,3.744276678230024,2677
2017-07-19,BIG167,06-4840,25,2017-07-19,2017-07-13,2017-07-05,2017-06-15,6.0,14.0,34.0,7.313725490196078,3.744276678230024,3687
2017-07-26,BIG167,02-3745,1,2017-07-26,2017-07-19,2017-07-13,2017-07-05,7.0,13.0,21.0,7.313725490196078,3.744276678230024,1551
2017-08-07,BIG167,20-1023,2,2017-08-07,2017-07-26,2017-07-19,2017-07-13,12.0,19.0,25.0,7.313725490196078,3.744276678230024,4257
2017-08-11,BIG167,02-8189,2,2017-08-11,2017-08-07,2017-07-26,2017-07-19,4.0,16.0,23.0,7.313725490196078,3.744276678230024,2786
2017-08-16,BIG167,02-9666,1,2017-08-16,2017-08-11,2017-08-07,2017-07-26,5.0,9.0,21.0,7.313725490196078,3.744276678230024,3090
2017-08-22,BIG167,02-7318,2,2017-08-22,2017-08-16,2017-08-11,2017-08-07,6.0,11.0,15.0,7.313725490196078,3.744276678230024,2542
2017-08-29,BIG167,01-4796,2,2017-08-29,2017-08-22,2017-08-16,2017-08-11,7.0,13.0,18.0,7.313725490196078,3.744276678230024,197
2017-09-06,BIG167,06-5890,2,2017-09-06,2017-08-29,2017-08-22,2017-08-16,8.0,15.0,21.0,7.313725490196078,3.744276678230024,3735
2017-09-13,BIG167,06-0331,1,2017-09-13,2017-09-06,2017-08-29,2017-08-22,7.0,15.0,22.0,7.313725490196078,3.744276678230024,3563
2017-09-18,BIG167,02-7161,10,2017-09-18,2017-09-13,2017-09-06,2017-08-29,5.0,12.0,20.0,7.313725490196078,3.744276678230024,2490
2017-09-28,BIG167,02-8373,1,2017-09-28,2017-09-18,2017-09-13,2017-09-06,10.0,15.0,22.0,7.313725490196078,3.744276678230024,2845
2017-09-29,BIG167,02-7161,10,2017-09-29,2017-09-28,2017-09-18,2017-09-13,1.0,11.0,16.0,7.313725490196078,3.744276678230024,2490
2017-10-12,BIG167,02-3449,3,2017-10-12,2017-09-29,2017-09-28,2017-09-18,13.0,14.0,24.0,7.313725490196078,3.744276678230024,1439
2017-10-18,BIG167,02-8223,2,2017-10-18,2017-10-12,2017-09-29,2017-09-28,6.0,19.0,20.0,7.313725490196078,3.744276678230024,2798
2017-10-20,BIG167,SPC1761,6,2017-10-20,2017-10-18,2017-10-12,2017-09-29,2.0,8.0,21.0,7.313725490196078,3.744276678230024,5623
2017-10-30,BIG167,02-9665,2,2017-10-30,2017-10-20,2017-10-18,2017-10-12,10.0,12.0,18.0,7.313725490196078,3.744276678230024,3089
2017-10-31,BIG167,02-9651,4,2017-10-31,2017-10-30,2017-10-20,2017-10-18,1.0,11.0,13.0,7.313725490196078,3.744276678230024,3079
2017-11-06,BIG167,02-4135,3,2017-11-06,2017-10-31,2017-10-30,2017-10-20,6.0,7.0,17.0,7.313725490196078,3.744276678230024,1659
2017-11-09,BIG167,02-2240,2,2017-11-09,2017-11-06,2017-10-31,2017-10-30,3.0,9.0,10.0,7.313725490196078,3.744276678230024,1075
2017-11-15,BIG167,02-0735,2,2017-11-15,2017-11-09,2017-11-06,2017-10-31,6.0,9.0,15.0,7.313725490196078,3.744276678230024,613
2017-11-17,BIG167,02-5430,1,2017-11-17,2017-11-15,2017-11-09,2017-11-06,2.0,8.0,11.0,7.313725490196078,3.744276678230024,2047
2017-11-22,BIG167,02-2996,1,2017-11-22,2017-11-17,2017-11-15,2017-11-09,5.0,7.0,13.0,7.313725490196078,3.744276678230024,1305
2017-11-27,BIG167,02-5340,1,2017-11-27,2017-11-22,2017-11-17,2017-11-15,5.0,10.0,12.0,7.313725490196078,3.744276678230024,2022
2017-12-04,BIG167,02-8072,4,2017-12-04,2017-11-27,2017-11-22,2017-11-17,7.0,12.0,17.0,7.313725490196078,3.744276678230024,2762
2017-12-07,BIG167,02-7355,1,2017-12-07,2017-12-04,2017-11-27,2017-11-22,3.0,10.0,15.0,7.313725490196078,3.744276678230024,2556
