InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-08-19,BMC100,02-4272,2,2015-08-19,2015-08-04,2015-07-23,2015-07-16,15.0,27.0,34.0,18.75,37.396078225753385,1706
2015-08-22,BMC100,02-5492,1,2015-08-22,2015-08-19,2015-08-04,2015-07-23,3.0,18.0,30.0,18.75,37.396078225753385,2068
2015-08-26,BMC100,02-5492,1,2015-08-26,2015-08-22,2015-08-19,2015-08-04,4.0,7.0,22.0,18.75,37.396078225753385,2068
2015-08-31,BMC100,02-5657,2,2015-08-31,2015-08-26,2015-08-22,2015-08-19,5.0,9.0,12.0,18.75,37.396078225753385,2107
2015-09-15,BMC100,02-5620,1,2015-09-15,2015-08-31,2015-08-26,2015-08-22,15.0,20.0,24.0,18.75,37.396078225753385,2098
2015-09-19,BMC100,02-0581,1,2015-09-19,2015-09-15,2015-08-31,2015-08-26,4.0,19.0,24.0,18.75,37.396078225753385,542
2015-09-28,BMC100,02-5657,2,2015-09-28,2015-09-19,2015-09-15,2015-08-31,9.0,13.0,28.0,18.75,37.396078225753385,2107
2015-10-01,BMC100,08-1230,2,2015-10-01,2015-09-28,2015-09-19,2015-09-15,3.0,12.0,16.0,18.75,37.396078225753385,3855
2015-10-28,BMC100,02-8991,4,2015-10-28,2015-10-01,2015-09-28,2015-09-19,27.0,30.0,39.0,18.75,37.396078225753385,3014
2015-11-11,BMC100,02-5657,1,2015-11-11,2015-10-28,2015-10-01,2015-09-28,14.0,41.0,44.0,18.75,37.396078225753385,2107
2015-11-23,BMC100,08-1230,2,2015-11-23,2015-11-11,2015-10-28,2015-10-01,12.0,26.0,53.0,18.75,37.396078225753385,3855
2016-04-28,BMC100,02-7366,2,2016-04-28,2015-11-23,2015-11-11,2015-10-28,157.0,169.0,183.0,18.75,37.396078225753385,2560
2016-05-04,BMC100,02-7672,1,2016-05-04,2016-04-28,2015-11-23,2015-11-11,6.0,163.0,175.0,18.75,37.396078225753385,2644
2016-05-11,BMC100,02-4699,6,2016-05-11,2016-05-04,2016-04-28,2015-11-23,7.0,13.0,170.0,18.75,37.396078225753385,1783
