InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2017-07-24,BRA154,06-3087,3,2017-07-24,2017-07-05,2017-06-15,2017-06-09,19.0,39.0,45.0,3.152542372881356,3.5175106760224915,3628
2017-07-26,BRA154,02-0308,1,2017-07-26,2017-07-24,2017-07-05,2017-06-15,2.0,21.0,41.0,3.152542372881356,3.5175106760224915,435
2017-08-02,BRA154,02-8848,2,2017-08-02,2017-07-26,2017-07-24,2017-07-05,7.0,9.0,28.0,3.152542372881356,3.5175106760224915,2971
2017-08-03,BRA154,02-8848,1,2017-08-03,2017-08-02,2017-07-26,2017-07-24,1.0,8.0,10.0,3.152542372881356,3.5175106760224915,2971
2017-08-04,BRA154,02-4903,1,2017-08-04,2017-08-03,2017-08-02,2017-07-26,1.0,2.0,9.0,3.152542372881356,3.5175106760224915,1860
2017-08-10,BRA154,02-6593,2,2017-08-10,2017-08-04,2017-08-03,2017-08-02,6.0,7.0,8.0,3.152542372881356,3.5175106760224915,2341
2017-08-14,BRA154,02-3633,1,2017-08-14,2017-08-10,2017-08-04,2017-08-03,4.0,10.0,11.0,3.152542372881356,3.5175106760224915,1522
2017-08-16,BRA154,06-1451,2,2017-08-16,2017-08-14,2017-08-10,2017-08-04,2.0,6.0,12.0,3.152542372881356,3.5175106760224915,3597
2017-08-17,BRA154,08-5180,2,2017-08-17,2017-08-16,2017-08-14,2017-08-10,1.0,3.0,7.0,3.152542372881356,3.5175106760224915,3869
2017-08-18,BRA154,06-1451,2,2017-08-18,2017-08-17,2017-08-16,2017-08-14,1.0,2.0,4.0,3.152542372881356,3.5175106760224915,3597
2017-08-22,BRA154,02-6132,2,2017-08-22,2017-08-18,2017-08-17,2017-08-16,4.0,5.0,6.0,3.152542372881356,3.5175106760224915,2212
2017-08-23,BRA154,06-3087,2,2017-08-23,2017-08-22,2017-08-18,2017-08-17,1.0,5.0,6.0,3.152542372881356,3.5175106760224915,3628
2017-08-24,BRA154,02-5794,5,2017-08-24,2017-08-23,2017-08-22,2017-08-18,1.0,2.0,6.0,3.152542372881356,3.5175106760224915,2142
2017-08-25,BRA154,02-9539,1,2017-08-25,2017-08-24,2017-08-23,2017-08-22,1.0,2.0,3.0,3.152542372881356,3.5175106760224915,3030
2017-08-28,BRA154,10-0471,6,2017-08-28,2017-08-25,2017-08-24,2017-08-23,3.0,4.0,5.0,3.152542372881356,3.5175106760224915,4098
2017-08-30,BRA154,02-6480,1,2017-08-30,2017-08-28,2017-08-25,2017-08-24,2.0,5.0,6.0,3.152542372881356,3.5175106760224915,2309
2017-08-31,BRA154,02-8716,1,2017-08-31,2017-08-30,2017-08-28,2017-08-25,1.0,3.0,6.0,3.152542372881356,3.5175106760224915,2931
2017-09-05,BRA154,06-1451,6,2017-09-05,2017-08-31,2017-08-30,2017-08-28,5.0,6.0,8.0,3.152542372881356,3.5175106760224915,3597
2017-09-06,BRA154,06-1448,3,2017-09-06,2017-09-05,2017-08-31,2017-08-30,1.0,6.0,7.0,3.152542372881356,3.5175106760224915,3596
2017-09-07,BRA154,06-3087,2,2017-09-07,2017-09-06,2017-09-05,2017-08-31,1.0,2.0,7.0,3.152542372881356,3.5175106760224915,3628
2017-09-11,BRA154,02-3633,1,2017-09-11,2017-09-07,2017-09-06,2017-09-05,4.0,5.0,6.0,3.152542372881356,3.5175106760224915,1522
2017-09-13,BRA154,02-8702,1,2017-09-13,2017-09-11,2017-09-07,2017-09-06,2.0,6.0,7.0,3.152542372881356,3.5175106760224915,2922
2017-09-14,BRA154,02-9692,1,2017-09-14,2017-09-13,2017-09-11,2017-09-07,1.0,3.0,7.0,3.152542372881356,3.5175106760224915,3111
2017-09-19,BRA154,01-4714,1,2017-09-19,2017-09-14,2017-09-13,2017-09-11,5.0,6.0,8.0,3.152542372881356,3.5175106760224915,194
2017-09-21,BRA154,SPC1300,1,2017-09-21,2017-09-19,2017-09-14,2017-09-13,2.0,7.0,8.0,3.152542372881356,3.5175106760224915,5175
2017-09-25,BRA154,06-1451,1,2017-09-25,2017-09-21,2017-09-19,2017-09-14,4.0,6.0,11.0,3.152542372881356,3.5175106760224915,3597
2017-09-27,BRA154,01-4714,1,2017-09-27,2017-09-25,2017-09-21,2017-09-19,2.0,6.0,8.0,3.152542372881356,3.5175106760224915,194
2017-10-02,BRA154,02-7713,1,2017-10-02,2017-09-27,2017-09-25,2017-09-21,5.0,7.0,11.0,3.152542372881356,3.5175106760224915,2661
2017-10-04,BRA154,02-3563,12,2017-10-04,2017-10-02,2017-09-27,2017-09-25,2.0,7.0,9.0,3.152542372881356,3.5175106760224915,1491
2017-10-09,BRA154,06-1451,4,2017-10-09,2017-10-04,2017-10-02,2017-09-27,5.0,7.0,12.0,3.152542372881356,3.5175106760224915,3597
2017-10-12,BRA154,02-8041,1,2017-10-12,2017-10-09,2017-10-04,2017-10-02,3.0,8.0,10.0,3.152542372881356,3.5175106760224915,2753
2017-10-13,BRA154,02-3611,1,2017-10-13,2017-10-12,2017-10-09,2017-10-04,1.0,4.0,9.0,3.152542372881356,3.5175106760224915,1510
2017-10-17,BRA154,SPC2086,1,2017-10-17,2017-10-13,2017-10-12,2017-10-09,4.0,5.0,8.0,3.152542372881356,3.5175106760224915,5931
2017-10-23,BRA154,02-2221,2,2017-10-23,2017-10-17,2017-10-13,2017-10-12,6.0,10.0,11.0,3.152542372881356,3.5175106760224915,1067
2017-10-25,BRA154,02-7676,1,2017-10-25,2017-10-23,2017-10-17,2017-10-13,2.0,8.0,12.0,3.152542372881356,3.5175106760224915,2647
2017-10-26,BRA154,02-9775,1,2017-10-26,2017-10-25,2017-10-23,2017-10-17,1.0,3.0,9.0,3.152542372881356,3.5175106760224915,3169
2017-10-30,BRA154,02-6030,2,2017-10-30,2017-10-26,2017-10-25,2017-10-23,4.0,5.0,7.0,3.152542372881356,3.5175106760224915,2182
2017-11-01,BRA154,01-5974,1,2017-11-01,2017-10-30,2017-10-26,2017-10-25,2.0,6.0,7.0,3.152542372881356,3.5175106760224915,249
2017-11-03,BRA154,SPC2177,1,2017-11-03,2017-11-01,2017-10-30,2017-10-26,2.0,4.0,8.0,3.152542372881356,3.5175106760224915,6014
2017-11-06,BRA154,02-3550,2,2017-11-06,2017-11-03,2017-11-01,2017-10-30,3.0,5.0,7.0,3.152542372881356,3.5175106760224915,1488
2017-11-07,BRA154,06-1451,2,2017-11-07,2017-11-06,2017-11-03,2017-11-01,1.0,4.0,6.0,3.152542372881356,3.5175106760224915,3597
2017-11-09,BRA154,01-6362,2,2017-11-09,2017-11-07,2017-11-06,2017-11-03,2.0,3.0,6.0,3.152542372881356,3.5175106760224915,276
2017-11-10,BRA154,02-3037,1,2017-11-10,2017-11-09,2017-11-07,2017-11-06,1.0,3.0,4.0,3.152542372881356,3.5175106760224915,1328
2017-11-14,BRA154,02-8223,2,2017-11-14,2017-11-10,2017-11-09,2017-11-07,4.0,5.0,7.0,3.152542372881356,3.5175106760224915,2798
2017-11-16,BRA154,02-4035,4,2017-11-16,2017-11-14,2017-11-10,2017-11-09,2.0,6.0,7.0,3.152542372881356,3.5175106760224915,1626
2017-11-17,BRA154,02-2239,1,2017-11-17,2017-11-16,2017-11-14,2017-11-10,1.0,3.0,7.0,3.152542372881356,3.5175106760224915,1074
2017-11-20,BRA154,02-6053,1,2017-11-20,2017-11-17,2017-11-16,2017-11-14,3.0,4.0,6.0,3.152542372881356,3.5175106760224915,2190
2017-11-22,BRA154,02-1190,1,2017-11-22,2017-11-20,2017-11-17,2017-11-16,2.0,5.0,6.0,3.152542372881356,3.5175106760224915,730
2017-11-28,BRA154,02-8783,1,2017-11-28,2017-11-22,2017-11-20,2017-11-17,6.0,8.0,11.0,3.152542372881356,3.5175106760224915,2951
2017-11-29,BRA154,02-2910,3,2017-11-29,2017-11-28,2017-11-22,2017-11-20,1.0,7.0,9.0,3.152542372881356,3.5175106760224915,1267
2017-11-30,BRA154,02-3056,1,2017-11-30,2017-11-29,2017-11-28,2017-11-22,1.0,2.0,8.0,3.152542372881356,3.5175106760224915,1336
2017-12-01,BRA154,02-9592,1,2017-12-01,2017-11-30,2017-11-29,2017-11-28,1.0,2.0,3.0,3.152542372881356,3.5175106760224915,3041
2017-12-04,BRA154,02-6059,1,2017-12-04,2017-12-01,2017-11-30,2017-11-29,3.0,4.0,5.0,3.152542372881356,3.5175106760224915,2194
2017-12-05,BRA154,02-1504,1,2017-12-05,2017-12-04,2017-12-01,2017-11-30,1.0,4.0,5.0,3.152542372881356,3.5175106760224915,832
2017-12-07,BRA154,02-1403,1,2017-12-07,2017-12-05,2017-12-04,2017-12-01,2.0,3.0,6.0,3.152542372881356,3.5175106760224915,790
2017-12-08,BRA154,SPC2251,3,2017-12-08,2017-12-07,2017-12-05,2017-12-04,1.0,3.0,4.0,3.152542372881356,3.5175106760224915,6050
2017-12-12,BRA154,02-1513,1,2017-12-12,2017-12-08,2017-12-07,2017-12-05,4.0,5.0,7.0,3.152542372881356,3.5175106760224915,837
