InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2016-03-22,BRO268,06-8928,1,2016-03-22,2016-03-04,2016-02-27,2016-02-22,18.0,24.0,29.0,16.428571428571427,18.877758020992847,3786
2016-04-05,BRO268,06-0345,2,2016-04-05,2016-03-22,2016-03-04,2016-02-27,14.0,32.0,38.0,16.428571428571427,18.877758020992847,3565
2016-04-06,BRO268,02-2660,2,2016-04-06,2016-04-05,2016-03-22,2016-03-04,1.0,15.0,33.0,16.428571428571427,18.877758020992847,1208
2016-06-16,BRO268,02-2475,2,2016-06-16,2016-04-06,2016-04-05,2016-03-22,71.0,72.0,86.0,16.428571428571427,18.877758020992847,1148
2016-06-27,BRO268,SPC1201,1,2016-06-27,2016-06-16,2016-04-06,2016-04-05,11.0,82.0,83.0,16.428571428571427,18.877758020992847,5080
2016-07-11,BRO268,02-2475,2,2016-07-11,2016-06-27,2016-06-16,2016-04-06,14.0,25.0,96.0,16.428571428571427,18.877758020992847,1148
2016-07-26,BRO268,08-0053,1,2016-07-26,2016-07-11,2016-06-27,2016-06-16,15.0,29.0,40.0,16.428571428571427,18.877758020992847,3841
2016-08-16,BRO268,02-4169,1,2016-08-16,2016-07-26,2016-07-11,2016-06-27,21.0,36.0,50.0,16.428571428571427,18.877758020992847,1680
2016-09-20,BRO268,02-2475,3,2016-09-20,2016-08-16,2016-07-26,2016-07-11,35.0,56.0,71.0,16.428571428571427,18.877758020992847,1148
2016-10-13,BRO268,02-3111,1,2016-10-13,2016-09-20,2016-08-16,2016-07-26,23.0,58.0,79.0,16.428571428571427,18.877758020992847,1351
2016-12-02,BRO268,02-2870,2,2016-12-02,2016-10-13,2016-09-20,2016-08-16,50.0,73.0,108.0,16.428571428571427,18.877758020992847,1251
2016-12-13,BRO268,02-8991,2,2016-12-13,2016-12-02,2016-10-13,2016-09-20,11.0,61.0,84.0,16.428571428571427,18.877758020992847,3014
2016-12-22,BRO268,07-4655,2,2016-12-22,2016-12-13,2016-12-02,2016-10-13,9.0,20.0,70.0,16.428571428571427,18.877758020992847,3812
2017-01-04,BRO268,01-2327,1,2017-01-04,2016-12-22,2016-12-13,2016-12-02,13.0,22.0,33.0,16.428571428571427,18.877758020992847,118
2017-01-23,BRO268,07-4655,1,2017-01-23,2017-01-04,2016-12-22,2016-12-13,19.0,32.0,41.0,16.428571428571427,18.877758020992847,3812
2017-02-02,BRO268,01-2327,1,2017-02-02,2017-01-23,2017-01-04,2016-12-22,10.0,29.0,42.0,16.428571428571427,18.877758020992847,118
2017-02-07,BRO268,01-2327,2,2017-02-07,2017-02-02,2017-01-23,2017-01-04,5.0,15.0,34.0,16.428571428571427,18.877758020992847,118
2017-02-14,BRO268,06-1467,2,2017-02-14,2017-02-07,2017-02-02,2017-01-23,7.0,12.0,22.0,16.428571428571427,18.877758020992847,3598
2017-02-21,BRO268,02-1936,3,2017-02-21,2017-02-14,2017-02-07,2017-02-02,7.0,14.0,19.0,16.428571428571427,18.877758020992847,960
2017-02-22,BRO268,02-1936,4,2017-02-22,2017-02-21,2017-02-14,2017-02-07,1.0,8.0,15.0,16.428571428571427,18.877758020992847,960
2017-02-27,BRO268,02-1936,2,2017-02-27,2017-02-22,2017-02-21,2017-02-14,5.0,6.0,13.0,16.428571428571427,18.877758020992847,960
2017-03-07,BRO268,07-4655,3,2017-03-07,2017-02-27,2017-02-22,2017-02-21,8.0,13.0,14.0,16.428571428571427,18.877758020992847,3812
2017-03-08,BRO268,02-8991,3,2017-03-08,2017-03-07,2017-02-27,2017-02-22,1.0,9.0,14.0,16.428571428571427,18.877758020992847,3014
2017-03-16,BRO268,02-1706,3,2017-03-16,2017-03-08,2017-03-07,2017-02-27,8.0,9.0,17.0,16.428571428571427,18.877758020992847,880
2017-03-22,BRO268,01-3201,1,2017-03-22,2017-03-16,2017-03-08,2017-03-07,6.0,14.0,15.0,16.428571428571427,18.877758020992847,160
2017-04-03,BRO268,02-1936,1,2017-04-03,2017-03-22,2017-03-16,2017-03-08,12.0,18.0,26.0,16.428571428571427,18.877758020992847,960
2017-04-14,BRO268,02-1220,3,2017-04-14,2017-04-03,2017-03-22,2017-03-16,11.0,23.0,29.0,16.428571428571427,18.877758020992847,738
2017-05-05,BRO268,06-0345,1,2017-05-05,2017-04-14,2017-04-03,2017-03-22,21.0,32.0,44.0,16.428571428571427,18.877758020992847,3565
2017-05-22,BRO268,02-1220,2,2017-05-22,2017-05-05,2017-04-14,2017-04-03,17.0,38.0,49.0,16.428571428571427,18.877758020992847,738
2017-06-01,BRO268,02-2836,2,2017-06-01,2017-05-22,2017-05-05,2017-04-14,10.0,27.0,48.0,16.428571428571427,18.877758020992847,1242
2017-06-20,BRO268,02-7318,1,2017-06-20,2017-06-01,2017-05-22,2017-05-05,19.0,29.0,46.0,16.428571428571427,18.877758020992847,2542
2017-06-21,BRO268,02-8991,3,2017-06-21,2017-06-20,2017-06-01,2017-05-22,1.0,20.0,30.0,16.428571428571427,18.877758020992847,3014
2017-09-19,BRO268,11-5953,2,2017-09-19,2017-06-21,2017-06-20,2017-06-01,90.0,91.0,110.0,16.428571428571427,18.877758020992847,4187
