InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2016-03-08,CAM164,SPC1213,1,2016-03-08,2016-03-02,2016-02-24,2016-02-18,6.0,13.0,19.0,13.790697674418604,33.31777599301473,5092
2016-03-10,CAM164,02-7121,3,2016-03-10,2016-03-08,2016-03-02,2016-02-24,2.0,8.0,15.0,13.790697674418604,33.31777599301473,2476
2016-03-17,CAM164,06-6144,2,2016-03-17,2016-03-10,2016-03-08,2016-03-02,7.0,9.0,15.0,13.790697674418604,33.31777599301473,3750
2016-04-02,CAM164,02-7743,3,2016-04-02,2016-03-17,2016-03-10,2016-03-08,16.0,23.0,25.0,13.790697674418604,33.31777599301473,2673
2016-04-06,CAM164,02-7121,3,2016-04-06,2016-04-02,2016-03-17,2016-03-10,4.0,20.0,27.0,13.790697674418604,33.31777599301473,2476
2016-04-11,CAM164,SPC1416,8,2016-04-11,2016-04-06,2016-04-02,2016-03-17,5.0,9.0,25.0,13.790697674418604,33.31777599301473,5288
2016-04-18,CAM164,SPC1416,6,2016-04-18,2016-04-11,2016-04-06,2016-04-02,7.0,12.0,16.0,13.790697674418604,33.31777599301473,5288
2016-04-25,CAM164,02-8991,4,2016-04-25,2016-04-18,2016-04-11,2016-04-06,7.0,14.0,19.0,13.790697674418604,33.31777599301473,3014
2016-04-27,CAM164,02-6874,3,2016-04-27,2016-04-25,2016-04-18,2016-04-11,2.0,9.0,16.0,13.790697674418604,33.31777599301473,2405
2016-04-28,CAM164,02-3009,4,2016-04-28,2016-04-27,2016-04-25,2016-04-18,1.0,3.0,10.0,13.790697674418604,33.31777599301473,1315
2016-05-02,CAM164,06-2086,1,2016-05-02,2016-04-28,2016-04-27,2016-04-25,4.0,5.0,7.0,13.790697674418604,33.31777599301473,3604
2016-05-05,CAM164,02-5247,1,2016-05-05,2016-05-02,2016-04-28,2016-04-27,3.0,7.0,8.0,13.790697674418604,33.31777599301473,2001
2016-05-16,CAM164,02-2647,3,2016-05-16,2016-05-05,2016-05-02,2016-04-28,11.0,14.0,18.0,13.790697674418604,33.31777599301473,1201
2016-06-07,CAM164,02-3107,2,2016-06-07,2016-05-16,2016-05-05,2016-05-02,22.0,33.0,36.0,13.790697674418604,33.31777599301473,1350
2016-06-23,CAM164,SPC1416,5,2016-06-23,2016-06-07,2016-05-16,2016-05-05,16.0,38.0,49.0,13.790697674418604,33.31777599301473,5288
2016-06-27,CAM164,02-3009,2,2016-06-27,2016-06-23,2016-06-07,2016-05-16,4.0,20.0,42.0,13.790697674418604,33.31777599301473,1315
2016-07-08,CAM164,02-6776,1,2016-07-08,2016-06-27,2016-06-23,2016-06-07,11.0,15.0,31.0,13.790697674418604,33.31777599301473,2378
2016-07-11,CAM164,02-7121,2,2016-07-11,2016-07-08,2016-06-27,2016-06-23,3.0,14.0,18.0,13.790697674418604,33.31777599301473,2476
2016-07-16,CAM164,02-5492,2,2016-07-16,2016-07-11,2016-07-08,2016-06-27,5.0,8.0,19.0,13.790697674418604,33.31777599301473,2068
2016-07-25,CAM164,02-6366,1,2016-07-25,2016-07-16,2016-07-11,2016-07-08,9.0,14.0,17.0,13.790697674418604,33.31777599301473,2279
2016-07-28,CAM164,02-5187,3,2016-07-28,2016-07-25,2016-07-16,2016-07-11,3.0,12.0,17.0,13.790697674418604,33.31777599301473,1974
2016-08-09,CAM164,02-5040,4,2016-08-09,2016-07-28,2016-07-25,2016-07-16,12.0,15.0,24.0,13.790697674418604,33.31777599301473,1915
2016-08-10,CAM164,02-3799,1,2016-08-10,2016-08-09,2016-07-28,2016-07-25,1.0,13.0,16.0,13.790697674418604,33.31777599301473,1572
2016-08-11,CAM164,02-2645,5,2016-08-11,2016-08-10,2016-08-09,2016-07-28,1.0,2.0,14.0,13.790697674418604,33.31777599301473,1199
2016-08-12,CAM164,06-0374,1,2016-08-12,2016-08-11,2016-08-10,2016-08-09,1.0,2.0,3.0,13.790697674418604,33.31777599301473,3568
2016-08-23,CAM164,02-7772,3,2016-08-23,2016-08-12,2016-08-11,2016-08-10,11.0,12.0,13.0,13.790697674418604,33.31777599301473,2684
2016-09-07,CAM164,02-5040,3,2016-09-07,2016-08-23,2016-08-12,2016-08-11,15.0,26.0,27.0,13.790697674418604,33.31777599301473,1915
2016-09-16,CAM164,02-3009,2,2016-09-16,2016-09-07,2016-08-23,2016-08-12,9.0,24.0,35.0,13.790697674418604,33.31777599301473,1315
2016-09-19,CAM164,SPC1646,15,2016-09-19,2016-09-16,2016-09-07,2016-08-23,3.0,12.0,27.0,13.790697674418604,33.31777599301473,5512
2016-09-22,CAM164,SPC1455,10,2016-09-22,2016-09-19,2016-09-16,2016-09-07,3.0,6.0,15.0,13.790697674418604,33.31777599301473,5325
2016-10-20,CAM164,02-3009,3,2016-10-20,2016-09-22,2016-09-19,2016-09-16,28.0,31.0,34.0,13.790697674418604,33.31777599301473,1315
2016-11-08,CAM164,SPC1456,30,2016-11-08,2016-10-20,2016-09-22,2016-09-19,19.0,47.0,50.0,13.790697674418604,33.31777599301473,5326
2016-11-21,CAM164,01-4796,5,2016-11-21,2016-11-08,2016-10-20,2016-09-22,13.0,32.0,60.0,13.790697674418604,33.31777599301473,197
2017-06-30,CAM164,02-3134,1,2017-06-30,2016-11-21,2016-11-08,2016-10-20,221.0,234.0,253.0,13.790697674418604,33.31777599301473,1358
2017-08-08,CAM164,09-4660,52,2017-08-08,2017-06-30,2016-11-21,2016-11-08,39.0,260.0,273.0,13.790697674418604,33.31777599301473,3945
2017-08-28,CAM164,SPC1416,40,2017-08-28,2017-08-08,2017-06-30,2016-11-21,20.0,59.0,280.0,13.790697674418604,33.31777599301473,5288
2017-09-05,CAM164,02-2660,2,2017-09-05,2017-08-28,2017-08-08,2017-06-30,8.0,28.0,67.0,13.790697674418604,33.31777599301473,1208
2017-09-20,CAM164,06-6302,4,2017-09-20,2017-09-05,2017-08-28,2017-08-08,15.0,23.0,43.0,13.790697674418604,33.31777599301473,3759
2017-09-21,CAM164,08-6396,1,2017-09-21,2017-09-20,2017-09-05,2017-08-28,1.0,16.0,24.0,13.790697674418604,33.31777599301473,3878
2017-09-22,CAM164,08-6320,1,2017-09-22,2017-09-21,2017-09-20,2017-09-05,1.0,2.0,17.0,13.790697674418604,33.31777599301473,3876
2017-10-03,CAM164,02-2649,4,2017-10-03,2017-09-22,2017-09-21,2017-09-20,11.0,12.0,13.0,13.790697674418604,33.31777599301473,1203
