InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-06-11,CAR116,SPC0110,6,2015-06-11,2015-05-22,2015-05-13,2015-05-04,20.0,29.0,38.0,18.88888888888889,15.818213331975045,4794
2015-07-02,CAR116,02-4622,1,2015-07-02,2015-06-11,2015-05-22,2015-05-13,21.0,41.0,50.0,18.88888888888889,15.818213331975045,1760
2015-07-09,CAR116,02-6883,1,2015-07-09,2015-07-02,2015-06-11,2015-05-22,7.0,28.0,48.0,18.88888888888889,15.818213331975045,2411
2015-07-21,CAR116,02-0297,2,2015-07-21,2015-07-09,2015-07-02,2015-06-11,12.0,19.0,40.0,18.88888888888889,15.818213331975045,432
2015-07-30,CAR116,02-2870,2,2015-07-30,2015-07-21,2015-07-09,2015-07-02,9.0,21.0,28.0,18.88888888888889,15.818213331975045,1251
2015-08-12,CAR116,02-6883,1,2015-08-12,2015-07-30,2015-07-21,2015-07-09,13.0,22.0,34.0,18.88888888888889,15.818213331975045,2411
2015-09-03,CAR116,02-6833,1,2015-09-03,2015-08-12,2015-07-30,2015-07-21,22.0,35.0,44.0,18.88888888888889,15.818213331975045,2397
2015-10-01,CAR116,02-1196,1,2015-10-01,2015-09-03,2015-08-12,2015-07-30,28.0,50.0,63.0,18.88888888888889,15.818213331975045,734
2015-10-16,CAR116,02-3520,2,2015-10-16,2015-10-01,2015-09-03,2015-08-12,15.0,43.0,65.0,18.88888888888889,15.818213331975045,1470
2015-11-20,CAR116,02-0308,1,2015-11-20,2015-10-16,2015-10-01,2015-09-03,35.0,50.0,78.0,18.88888888888889,15.818213331975045,435
2015-12-10,CAR116,02-6833,1,2015-12-10,2015-11-20,2015-10-16,2015-10-01,20.0,55.0,70.0,18.88888888888889,15.818213331975045,2397
2015-12-17,CAR116,02-0685,1,2015-12-17,2015-12-10,2015-11-20,2015-10-16,7.0,27.0,62.0,18.88888888888889,15.818213331975045,591
2016-01-14,CAR116,02-6833,1,2016-01-14,2015-12-17,2015-12-10,2015-11-20,28.0,35.0,55.0,18.88888888888889,15.818213331975045,2397
2016-02-04,CAR116,02-7823,1,2016-02-04,2016-01-14,2015-12-17,2015-12-10,21.0,49.0,56.0,18.88888888888889,15.818213331975045,2704
2016-02-11,CAR116,02-2770,1,2016-02-11,2016-02-04,2016-01-14,2015-12-17,7.0,28.0,56.0,18.88888888888889,15.818213331975045,1225
2016-02-19,CAR116,02-1291,1,2016-02-19,2016-02-11,2016-02-04,2016-01-14,8.0,15.0,36.0,18.88888888888889,15.818213331975045,757
2016-03-10,CAR116,02-0308,1,2016-03-10,2016-02-19,2016-02-11,2016-02-04,20.0,28.0,35.0,18.88888888888889,15.818213331975045,435
2016-03-11,CAR116,02-7121,1,2016-03-11,2016-03-10,2016-02-19,2016-02-11,1.0,21.0,29.0,18.88888888888889,15.818213331975045,2476
2016-03-17,CAR116,02-5705,1,2016-03-17,2016-03-11,2016-03-10,2016-02-19,6.0,7.0,27.0,18.88888888888889,15.818213331975045,2120
2016-04-21,CAR116,02-7823,1,2016-04-21,2016-03-17,2016-03-11,2016-03-10,35.0,41.0,42.0,18.88888888888889,15.818213331975045,2704
2016-05-05,CAR116,02-2770,1,2016-05-05,2016-04-21,2016-03-17,2016-03-11,14.0,49.0,55.0,18.88888888888889,15.818213331975045,1225
2016-05-12,CAR116,02-3520,1,2016-05-12,2016-05-05,2016-04-21,2016-03-17,7.0,21.0,56.0,18.88888888888889,15.818213331975045,1470
2016-06-08,CAR116,02-1291,1,2016-06-08,2016-05-12,2016-05-05,2016-04-21,27.0,34.0,48.0,18.88888888888889,15.818213331975045,757
2016-06-20,CAR116,02-7754,1,2016-06-20,2016-06-08,2016-05-12,2016-05-05,12.0,39.0,46.0,18.88888888888889,15.818213331975045,2678
2016-07-05,CAR116,02-2770,2,2016-07-05,2016-06-20,2016-06-08,2016-05-12,15.0,27.0,54.0,18.88888888888889,15.818213331975045,1225
2016-07-28,CAR116,02-8678,1,2016-07-28,2016-07-05,2016-06-20,2016-06-08,23.0,38.0,50.0,18.88888888888889,15.818213331975045,2912
2016-08-26,CAR116,02-6599,1,2016-08-26,2016-07-28,2016-07-05,2016-06-20,29.0,52.0,67.0,18.88888888888889,15.818213331975045,2342
2016-08-31,CAR116,02-6833,1,2016-08-31,2016-08-26,2016-07-28,2016-07-05,5.0,34.0,57.0,18.88888888888889,15.818213331975045,2397
2016-09-02,CAR116,02-8678,1,2016-09-02,2016-08-31,2016-08-26,2016-07-28,2.0,7.0,36.0,18.88888888888889,15.818213331975045,2912
2016-10-21,CAR116,02-8678,1,2016-10-21,2016-09-02,2016-08-31,2016-08-26,49.0,51.0,56.0,18.88888888888889,15.818213331975045,2912
2016-10-28,CAR116,02-6833,1,2016-10-28,2016-10-21,2016-09-02,2016-08-31,7.0,56.0,58.0,18.88888888888889,15.818213331975045,2397
2016-11-03,CAR116,02-3107,2,2016-11-03,2016-10-28,2016-10-21,2016-09-02,6.0,13.0,62.0,18.88888888888889,15.818213331975045,1350
2016-12-29,CAR116,02-6833,1,2016-12-29,2016-11-03,2016-10-28,2016-10-21,56.0,62.0,69.0,18.88888888888889,15.818213331975045,2397
2017-03-14,CAR116,01-4422,6,2017-03-14,2016-12-29,2016-11-03,2016-10-28,75.0,131.0,137.0,18.88888888888889,15.818213331975045,188
