InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2016-09-14,CHO127,02-2392,2,2016-09-14,2016-09-09,2016-09-08,2016-08-31,5.0,6.0,14.0,7.0,7.9959667252288975,1110
2016-09-20,CHO127,02-4975,2,2016-09-20,2016-09-14,2016-09-09,2016-09-08,6.0,11.0,12.0,7.0,7.9959667252288975,1884
2016-09-22,CHO127,03-5645,1,2016-09-22,2016-09-20,2016-09-14,2016-09-09,2.0,8.0,13.0,7.0,7.9959667252288975,3292
2016-09-27,CHO127,03-5645,2,2016-09-27,2016-09-22,2016-09-20,2016-09-14,5.0,7.0,13.0,7.0,7.9959667252288975,3292
2016-09-28,CHO127,02-5871,1,2016-09-28,2016-09-27,2016-09-22,2016-09-20,1.0,6.0,8.0,7.0,7.9959667252288975,2158
2016-10-01,CHO127,04-0672,3,2016-10-01,2016-09-28,2016-09-27,2016-09-22,3.0,4.0,9.0,7.0,7.9959667252288975,3347
2016-10-04,CHO127,02-0994,3,2016-10-04,2016-10-01,2016-09-28,2016-09-27,3.0,6.0,7.0,7.0,7.9959667252288975,659
2016-10-05,CHO127,20-2481,5,2016-10-05,2016-10-04,2016-10-01,2016-09-28,1.0,4.0,7.0,7.0,7.9959667252288975,4278
2016-10-12,CHO127,02-2391,1,2016-10-12,2016-10-05,2016-10-04,2016-10-01,7.0,8.0,11.0,7.0,7.9959667252288975,1109
2016-10-19,CHO127,02-7984,4,2016-10-19,2016-10-12,2016-10-05,2016-10-04,7.0,14.0,15.0,7.0,7.9959667252288975,2739
2016-10-27,CHO127,02-3503,5,2016-10-27,2016-10-19,2016-10-12,2016-10-05,8.0,15.0,22.0,7.0,7.9959667252288975,1464
2016-11-01,CHO127,04-0672,2,2016-11-01,2016-10-27,2016-10-19,2016-10-12,5.0,13.0,20.0,7.0,7.9959667252288975,3347
2016-11-12,CHO127,01-4422,4,2016-11-12,2016-11-01,2016-10-27,2016-10-19,11.0,16.0,24.0,7.0,7.9959667252288975,188
2016-11-29,CHO127,02-1340,1,2016-11-29,2016-11-12,2016-11-01,2016-10-27,17.0,28.0,33.0,7.0,7.9959667252288975,771
2016-12-01,CHO127,02-7431,2,2016-12-01,2016-11-29,2016-11-12,2016-11-01,2.0,19.0,30.0,7.0,7.9959667252288975,2588
2016-12-02,CHO127,02-8740,2,2016-12-02,2016-12-01,2016-11-29,2016-11-12,1.0,3.0,20.0,7.0,7.9959667252288975,2941
2016-12-07,CHO127,02-7191,2,2016-12-07,2016-12-02,2016-12-01,2016-11-29,5.0,6.0,8.0,7.0,7.9959667252288975,2502
2016-12-13,CHO127,SPC1622,4,2016-12-13,2016-12-07,2016-12-02,2016-12-01,6.0,11.0,12.0,7.0,7.9959667252288975,5489
2016-12-15,CHO127,02-1725,2,2016-12-15,2016-12-13,2016-12-07,2016-12-02,2.0,8.0,13.0,7.0,7.9959667252288975,889
2017-01-03,CHO127,03-5645,1,2017-01-03,2016-12-15,2016-12-13,2016-12-07,19.0,21.0,27.0,7.0,7.9959667252288975,3292
2017-01-06,CHO127,02-7292,3,2017-01-06,2017-01-03,2016-12-15,2016-12-13,3.0,22.0,24.0,7.0,7.9959667252288975,2529
2017-01-13,CHO127,02-3101,1,2017-01-13,2017-01-06,2017-01-03,2016-12-15,7.0,10.0,29.0,7.0,7.9959667252288975,1348
2017-01-14,CHO127,02-8149,1,2017-01-14,2017-01-13,2017-01-06,2017-01-03,1.0,8.0,11.0,7.0,7.9959667252288975,2775
2017-01-17,CHO127,02-3101,1,2017-01-17,2017-01-14,2017-01-13,2017-01-06,3.0,4.0,11.0,7.0,7.9959667252288975,1348
2017-01-21,CHO127,02-3520,1,2017-01-21,2017-01-17,2017-01-14,2017-01-13,4.0,7.0,8.0,7.0,7.9959667252288975,1470
