InvDate,CustNo,ItemNo,InvQty,InvDay,PrevInvDate,T2InvDate,T3InvDate,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,ItemEncoded
2015-08-17,CIT135,06-1027,4,2015-08-17,2015-07-25,2015-06-03,2015-05-09,23.0,75.0,100.0,36.708333333333336,32.322396551626234,3585
2015-10-29,CIT135,02-8700,4,2015-10-29,2015-08-17,2015-07-25,2015-06-03,73.0,96.0,148.0,36.708333333333336,32.322396551626234,2920
2015-12-01,CIT135,02-4608,1,2015-12-01,2015-10-29,2015-08-17,2015-07-25,33.0,106.0,129.0,36.708333333333336,32.322396551626234,1757
2016-01-08,CIT135,02-4608,2,2016-01-08,2015-12-01,2015-10-29,2015-08-17,38.0,71.0,144.0,36.708333333333336,32.322396551626234,1757
2016-02-12,CIT135,02-7373,1,2016-02-12,2016-01-08,2015-12-01,2015-10-29,35.0,73.0,106.0,36.708333333333336,32.322396551626234,2564
2016-02-27,CIT135,02-2660,2,2016-02-27,2016-02-12,2016-01-08,2015-12-01,15.0,50.0,88.0,36.708333333333336,32.322396551626234,1208
2016-03-12,CIT135,02-4135,4,2016-03-12,2016-02-27,2016-02-12,2016-01-08,14.0,29.0,64.0,36.708333333333336,32.322396551626234,1659
2016-03-23,CIT135,02-0685,3,2016-03-23,2016-03-12,2016-02-27,2016-02-12,11.0,25.0,40.0,36.708333333333336,32.322396551626234,591
2016-04-05,CIT135,02-6883,1,2016-04-05,2016-03-23,2016-03-12,2016-02-27,13.0,24.0,38.0,36.708333333333336,32.322396551626234,2411
2016-05-07,CIT135,02-7373,1,2016-05-07,2016-04-05,2016-03-23,2016-03-12,32.0,45.0,56.0,36.708333333333336,32.322396551626234,2564
2016-05-23,CIT135,02-3101,2,2016-05-23,2016-05-07,2016-04-05,2016-03-23,16.0,48.0,61.0,36.708333333333336,32.322396551626234,1348
2016-06-30,CIT135,02-4608,3,2016-06-30,2016-05-23,2016-05-07,2016-04-05,38.0,54.0,86.0,36.708333333333336,32.322396551626234,1757
2016-07-13,CIT135,02-5187,3,2016-07-13,2016-06-30,2016-05-23,2016-05-07,13.0,51.0,67.0,36.708333333333336,32.322396551626234,1974
2016-08-20,CIT135,02-5187,3,2016-08-20,2016-07-13,2016-06-30,2016-05-23,38.0,51.0,89.0,36.708333333333336,32.322396551626234,1974
2016-09-12,CIT135,02-7373,1,2016-09-12,2016-08-20,2016-07-13,2016-06-30,23.0,61.0,74.0,36.708333333333336,32.322396551626234,2564
2016-09-19,CIT135,02-7765,3,2016-09-19,2016-09-12,2016-08-20,2016-07-13,7.0,30.0,68.0,36.708333333333336,32.322396551626234,2683
2016-10-31,CIT135,02-7373,1,2016-10-31,2016-09-19,2016-09-12,2016-08-20,42.0,49.0,72.0,36.708333333333336,32.322396551626234,2564
2017-02-22,CIT135,02-1513,10,2017-02-22,2016-10-31,2016-09-19,2016-09-12,114.0,156.0,163.0,36.708333333333336,32.322396551626234,837
2017-03-31,CIT135,02-6889,2,2017-03-31,2017-02-22,2016-10-31,2016-09-19,37.0,151.0,193.0,36.708333333333336,32.322396551626234,2414
2017-08-21,CIT135,02-7144,5,2017-08-21,2017-03-31,2017-02-22,2016-10-31,143.0,180.0,294.0,36.708333333333336,32.322396551626234,2486
2017-09-22,CIT135,02-4750,3,2017-09-22,2017-08-21,2017-03-31,2017-02-22,32.0,175.0,212.0,36.708333333333336,32.322396551626234,1817
2017-10-06,CIT135,02-5212,2,2017-10-06,2017-09-22,2017-08-21,2017-03-31,14.0,46.0,189.0,36.708333333333336,32.322396551626234,1990
